Ain't Misbehavin',1,1,Vocal,Ab
As Time Goes By,2,2,Vocal,Ab
Ballad For Trane, 3,3,Feature,Eb
Beatrice,4,4,Band,F
Bernie's Tune,5,5,Bass,F
Bouncing With Bud,7,8,Band,Bb
But Beautiful,9,9,Feature,G
But Beautiful,10,10,Vocal,C
Cedar's Blues,11,12,Blues,Bb
Chega De Saudade,13,15,Band,Dm-D
Come Fly With Me,17,18,Vocal,Bb
Dat Dere,19,21,Band,Eb
Dindi,23,23,Vocal,C
Favela,25,26,Band,Gm
Filthy McNasty,27,28,Blues,Bb
Fly Me To The Moon,29,30,Vocal,Am
Fly Me To The Moon,31,32,Vocal,Gm
Fly Me To The Moon,33,34,Vocal,Gm
Freight Trane,35,35,Blues (Bird),Bb
Freight Trane,36,36,Blues (Bird),F
Fried Bananas,37,37,Band,Eb
From Now On,38,38,Band,C
Game Of Thrones,39,39,Band,Cm
Great Pumpkin Waltz (The),41,42,Band,Cm-G
He's Funny That Way,43,43,Vocal,Ab
Honeysuckle Rose,44,44,Vocal,Cm
How Insensitive,45,45,Band,Am
I Get A Kick Out Of You,47,48,Vocal,C
I'm Beginning To See The Light,49,49,Vocal,Eb
I'm Old Fashioned,51,52,Vocal,Db
In Walked Bud,53,53,Band,Ab
I Remember Clifford,55,56,Feature,Eb
I Remember You,57,58,Vocal,Eb
It Could Happen To You,59,59,Band,Eb
Just Squeeze Me,60,60,Bass,F
Killer Joe,61,61,Band,C
Let It Snow! Let It Snow! Let It Snow!,62,62,Band,F
Like Someone In Love,63,63,Band,F
Line For Lyons,65,66,Horns,G
Line For Lyons,67,68,Horns,Bb
Lullaby Of Birdland,69,70,Vocal,Cm
My Favorite Things,71,71,Vocal,Dm
My One An Only Love,72,72,Bass,C
Nature Boy,73,74,Vocal,Cm
Nearness Of You 6/4 (The),75,76,Band,C
Nearness Of You (The),77,77,Band,C
Nostalgia In Time Square,78,78,Vocal,C
Oh What A Beautiful Morning,79,80,Vocal,Bb
One Note Samba,81,82,Vocal,Cm
Our Delight,83,83,Band,Ab
Pannonica,84,84,Band,C
Pennies From Heaven,85,85,Vocal,F
Pensitiva,87,90,Band,Gb
Petite Belle,91,91,Feature,Gm
Scotch And Water,92,92,Blues,Bb
Once I Had A Secret Love,93,94,Vocal,C
Secret Love,93,94,Vocal,C
Shiny Stockings,95,95,Vocal,Bb
Schrodinger's Jazz Cat,96,96,Blues,F
Skylark,97,97,Vocal,Ab
Softly As In A Morning Sunrise,98,98,Band,Eb
Someone To Watch Over Me,99,99,Vocal,G
Soul Eyes,100,100,Feature,Cm
Star Eyes,101,101,Vocal,Bb
Surrey With The Fringe On Top,102,102,Vocal,Eb
The Kicker,103,104,Blues,Bb
This I Dig Of You,105,105,Band,Bb
Three And One,106,106,Bass,Eb
Waters Of March,107,108,Vocal,Bb
What A Wonderful World,109,109,Vocal,Bb
When Sunny Get Blue,110,110,Vocal,Eb
You And The Night And The Music,111,113,Band,Cm
