Smile, basslessons.be, 2,3, Groundation
Spider, basslessons.be, 4,9, Herbie Hancock
Hooked up, basslessons.be, 10,11 ,Jamiroquai
Runaway, basslessons.be, 12,13 ,Jamiroquai
Cause We've Ended As Lovers, basslessons.be, 14,15 ,Stevie Wonder
We Are your Friends, basslessons.be, 16,16 ,Justice vs Simian
Jekyll & Hyde, basslessons.be, 17,22, Marcus Miller
Modern Times, basslessons.be, 23,25, Meshell Ndegeocello
MIRIAM, basslessons.be, 26,27, Orelha Negra
Flash Light, basslessons.be, 28,31, Parliament
Ba Senge, basslessons.be, 32,34, Richard Bona
All Of Me, basslessons.be, 35,35, Sarah Vaughn solo
Oh la la la, basslessons.be, 36,36, TC Matic
Reunion, basslessons.be, 37,40, The XX
Turn Back the Hands of Time, basslessons.be, 41,41, Tyrone Davis
Slinky, basslessons.be, 42,43, Uzeb
Uzeb Club, basslessons.be, 44,46, Uzeb
Adrienne & Adrianne, basslessons.be, 47,48, Vulfpeck
Impossible (Intro), basslessons.be, 49,49, Building 429
Higher and Higher, basslessons.be, 50,50, Jackie Wilson
Cold Duck Time, basslessons.be, 51,51, Bryan Ladd
Dark Necessities, basslessons.be, 52,52, Flea
Under the Sun, basslessons.be, 53,53, Tal Wilkenfeld
