A Fonte Secou                        ,Latin Real Book.pdf,20,21
A MI Que .                           ,Latin Real Book.pdf,22,23
A Nivel De                           ,Latin Real Book.pdf,24,25
Afro Blue                            ,Latin Real Book.pdf,26,27
Aguardiente de Cana                ,Latin Real Book.pdf,28,30
Almendra                             ,Latin Real Book.pdf,32,35
Alonzo                               ,Latin Real Book.pdf,36,37
Amantes                              ,Latin Real Book.pdf,38,45
Amazonia                             ,Latin Real Book.pdf,46,49
Amor                                 ,Latin Real Book.pdf,50,51
Amor Artificial                      ,Latin Real Book.pdf,52,58
Anatelio (The Happy People)          ,Latin Real Book.pdf,60,61
Angoa                                ,Latin Real Book.pdf,62,65
Aparecida                            ,Latin Real Book.pdf,66,67
Aquarela Do Brasil (a.k.a. Brazil)   ,Latin Real Book.pdf,68,69
Aqui  Oh!                            ,Latin Real Book.pdf,70,71
Arallue                              ,Latin Real Book.pdf,72,79
Armando's Rumba                      ,Latin Real Book.pdf,80,81
Atras De Nos                         ,Latin Real Book.pdf,82,83
Bacchanal                            ,Latin Real Book.pdf,84,85
Baia (a.k.a. Bahia)                  ,Latin Real Book.pdf,86,87
Bailando Asi                         ,Latin Real Book.pdf,88,93
Basta De Clamares Inocencia          ,Latin Real Book.pdf,94,95
Bemba Colord                         ,Latin Real Book.pdf,96,99
Besame                               ,Latin Real Book.pdf,100,101
Besame Mucho                         ,Latin Real Book.pdf,102,103
Bilongo                              ,Latin Real Book.pdf,104,107
Bomba de Corazon                     ,Latin Real Book.pdf,108,11
Brasileiro                           ,Latin Real Book.pdf,112,115
Bruca Manigua                        ,Latin Real Book.pdf,116,117
Building Bridges                     ,Latin Real Book.pdf,118,119
Cachita                              ,Latin Real Book.pdf,120,121
Camaleon                   ,Latin Real Book.pdf,122,125
Camina y Prende El Fogon            ,Latin Real Book.pdf,126,129
Capullito de Aleli                   ,Latin Real Book.pdf,130,131
Cascade Of The Seven Waterfalls      ,Latin Real Book.pdf,132,133
Cha-cha-cha (a.k.a. Calzada de Cerro),Latin Real Book.pdf,134,135
Changuiri                            ,Latin Real Book.pdf,136,145
Claudia                              ,Latin Real Book.pdf,146,147
Club Morocco                         ,Latin Real Book.pdf,148,149
Coisa Feita                          ,Latin Real Book.pdf,150,151
Come With Me                         ,Latin Real Book.pdf,152,153
Compadre Pedro Juan                  ,Latin Real Book.pdf,154,155
Contigo En La Distancia              ,Latin Real Book.pdf,156,156
Cubanita                             ,Latin Real Book.pdf,158,161
Curacao                           ,Latin Real Book.pdf,162,163
Dame Un Cachito Pa' Huele       ,Latin Real Book.pdf,164,165
Danz& For My Father             ,Latin Real Book.pdf,166,169
Decision                        ,Latin Real Book.pdf,170,171
Dejala Que Baile Sola           ,Latin Real Book.pdf,172,179
Dejala Que Siga Andando         ,Latin Real Book.pdf,180,183
Dejame Sonar                    ,Latin Real Book.pdf,184,187
Dile a Catalina kIrakere        ,Latin Real Book.pdf,188,191
Dime Til Que Lo Sabes           ,Latin Real Book.pdf,192,199
Dom De Iludir                   ,Latin Real Book.pdf,200,200
Don Quixote                     ,Latin Real Book.pdf,202,203
E'                              ,Latin Real Book.pdf,204,205
Eastern Joy Dance               ,Latin Real Book.pdf,206,207
Echale Salsita                  ,Latin Real Book.pdf,208,208
El Agua Del Clavelito           ,Latin Real Book.pdf,210,211
El Cantar del Coqui             ,Latin Real Book.pdf,212,215
El Manisero ,Latin Real Book.pdf,217,219
Elena Elena                    ,Latin Real Book.pdf,220,223
Encantigo                       ,Latin Real Book.pdf,224,227
Entregate                       ,Latin Real Book.pdf,228,233
Estoy Como Nunca                ,Latin Real Book.pdf,234,241
Flight To Jordan                ,Latin Real Book.pdf,242,242
Flor De Lis (a.k.a. Upside Down),Latin Real Book.pdf,244,245
FrenesI                         ,Latin Real Book.pdf,246,247
Frevo                           ,Latin Real Book.pdf,248,249
Guarare                         ,Latin Real Book.pdf,250,257
Hannibal's Revenge              ,Latin Real Book.pdf,258,259
Indestructible                  ,Latin Real Book.pdf,260,263
Indiferencia                    ,Latin Real Book.pdf,264,267
Jogral                          ,Latin Real Book.pdf,268,271
Juan Pachanga                   ,Latin Real Book.pdf,272,275
Kalinda                         ,Latin Real Book.pdf,276,279
La Charanga                     ,Latin Real Book.pdf,280,281
La Comparsa '                   ,Latin Real Book.pdf,282,283
La Enganadora                   ,Latin Real Book.pdf,284,285
La Esencia del GuaguancO        ,Latin Real Book.pdf,286,287
(Se Acabo) La Malanga           ,Latin Real Book.pdf,288,289
La Patria Del Son               ,Latin Real Book.pdf,290,293
La Vida Es Un Sueno             ,Latin Real Book.pdf,294,294
Lagrimas Negras                 ,Latin Real Book.pdf,296,297
Lament() Borincano              ,Latin Real Book.pdf,298,301
Latin Perspective               ,Latin Real Book.pdf,302,303
Leva E Traz (Elis)              ,Latin Real Book.pdf,304,305
Linda Chicana                   ,Latin Real Book.pdf,306,307
Lo Que Siento es Le Lo Ley      ,Latin Real Book.pdf,308,311
Lo Que Va a Pasar               ,Latin Real Book.pdf,312,315
Look To The Sky                 ,Latin Real Book.pdf,316,316
Loro                            ,Latin Real Book.pdf,318,319
Los Tamalitos de Olga                     ,Latin Real Book.pdf,320,321
Lourdes' Lullaby                          ,Latin Real Book.pdf,322,327
Lua Soberana                              ,Latin Real Book.pdf,328,329
Luz Do Sol                                ,Latin Real Book.pdf,330,331
Mamblues                                  ,Latin Real Book.pdf,332,333
Mambo #5,Latin Real Book.pdf,334,335
Mambo #8,Latin Real Book.pdf,336,337
Mambo Influenciado                        ,Latin Real Book.pdf,338,338
Mambo Inn                                 ,Latin Real Book.pdf,340,341
Manteca                                   ,Latin Real Book.pdf,342,343
Maria Cervantes                           ,Latin Real Book.pdf,344,345
Mas Que Nada                              ,Latin Real Book.pdf,346,347
Mayeya No Juegues Con Los Santos Septeto ,Latin Real Book.pdf,348,349
