Song Title,Offset,,Key,Composer,Year,Song with Key
500 Miles High,8,8,C,Chick Corea/Neville Potter,1978,500 Miles High (C)
After You’ve Gone,9,9,C,Henry S. Creamer/Turner Layton,1918,After You’ve Gone (C)
Afternoon in Paris,10,10,C,John Lewis,1955,Afternoon in Paris (C)
Again,11,11,C,Lionel Newman/Dorcas Cochran,1948,Again (C)
Agua De Beber,12,12,C,Antonio Carlos Jobim/Norman Gimbel/Vinicius De Moraes,1963,Agua De Beber (C)
Airegin,13,13,C,Sonny Rollins,1963,Airegin (C)
Alice in Wonderland,14,14,C,Sammy Fain/Bob Hilliard,1951,Alice in Wonderland (C)
All About Ronnie,15,15,C,Joe Greene,1951,All About Ronnie (C)
All My Tomorrows,16,16,C,James Van Heusen/Sammy Cahn,1059,All My Tomorrows (C)
All of Me,17,17,C,Seymour Simons/Gerald Marks,1951,All of Me (C)
All of You,18,18,C,Cole Porter,1954,All of You (C)
All or Nothing At All,19,19,C,Arthur Altman/Jack Lawrence,1959,All or Nothing At All (C)
All the Things You Are,20,20,C,Jerome Kern/Oscar Hammerstein,1959,All the Things You Are (C)
All the Way,21,21,C,James Van Heusen/Sammy Cahn,1929,All the Way (C)
Alone Together,22,22,C,Howard Deitz/Arthur Schwartz,1952,Alone Together (C)
Along Came Betty,23,23,C,Benny Golson,1957,Along Came Betty (C)
Always,24,24,C,Irving Berlin,1925,Always (C)
Am I Blue,25,25,C,Harry Akst/Grant Clarke,1929,Am I Blue (C)
Among My Souvenirs,26,26,C,Horatio Nicholis,1927,Among My Souvenirs (C)
And I Love Her,27,27,C,John Lennon/Paul McCartney,1964,And I Love Her (C)
Angel Eyes,28,28,C,Matt Dennis/Earl Brent,1946,Angel Eyes (C)
Angela,29,29,C,Antonio Carlos Jobim,,Angela (C)
Angela,30,30,C,Don Minasi,1984,Angela (C)
Anthropology,31,31,C,Charlie Parker,1946,Anthropology (C)
April In Paris,32,32,C,Edgar Yipsel Harburg/Vernon Duke,1952,April In Paris (C)
Armondo’s Rhumba,33,34,C,Chick Corea,1976,Armondo’s Rhumba (C)
As Long As I Live,35,35,C,Ted Koehler/Harold Arlen,1954,As Long As I Live (C)
As Time Goes By,36,36,C,Herman Upfield,1951,As Time Goes By (C)
Ask Me Now,37,37,C,Thelonious Monk,1978,Ask Me Now (C)
At Last,38,38,C,Harry Warren/Mack Gordon,1942,At Last (C)
Au Privave,39,39,C,Charlie Parker,1956,Au Privave (C)
Autumn in New York,40,40,C,Vernon Duke,1934,Autumn in New York (C)
Autumn Leaves,41,41,C,Joseph Kosma/Johnny Mercer,1947,Autumn Leaves (C)
Autumn Serenade,42,42,C,Sammy Galop/Peter De Rose,1945,Autumn Serenade (C)
Barbados,43,43,C,Charlie Parker,1948,Barbados (C)
Barbara,44,44,C,Horace Silver,1974,Barbara (C)
Be My Love,45,45,C,Sammy Cahn/Nicholas Brodszky,1950,Be My Love (C)
Beatrice,46,46,C,Sam Rivers,1965,Beatrice (C)
Beautiful Friendship,47,47,C,Donald Kahn/Stanley Styne,1956,Beautiful Friendship (C)
Beautiful Love,48,48,C,Victor Young/Haven Gillespie,1951,Beautiful Love (C)
Because of You,49,49,C,Art Hammerstein/Dudley Wilkinson,1951,Because of You (C)
Before You Go,50,50,C,George Benson,1979,Before You Go (C)
Bernie’s Tune,51,51,C,Bernie Miller,1953,Bernie’s Tune (C)
Beseme Mucho (Kiss Me Much),52,52,C,Consuelo Velazquez,1941,Beseme Mucho (Kiss Me Much) (C)
Bewitched,53,53,C,Richard Rodgers/Lorenz Hart,1941,Bewitched (C)
Beyond the Sea,54,54,C,Jack Lawrence/Charles Trenet,1945,Beyond the Sea (C)
The Big Hurt,55,55,C,Wayne Shanklin,1959,The Big Hurt (C)
Black and Blue,56,56,C,Fats Waller/Harry Brooks/Andy Razaf,1929,Black and Blue (C)
Black Coffee,57,57,C,Paul Francis Webster/Sonny Burke,1948,Black Coffee (C)
Blame It On My Youth,58,58,C,Oscar Levant/Edward Heyman,1934,Blame It On My Youth (C)
Bloomdido,59,59,C,Charlie Parker,1953,Bloomdido (C)
Blue and Sentimental,60,60,C,Count Basie/Jerry Livingston/Mack David,1958,Blue and Sentimental (C)
Blue and White,61,61,C,Sandstrom,1984,Blue and White (C)
Blue Bossa,62,62,C,Kenny Dorham,1965,Blue Bossa (C)
Blue Daniel,63,63,C,Frank Rosolino,1959,Blue Daniel (C)
Blue in Green,64,64,C,Miles Davis,1959,Blue in Green (C)
Blue Moon,65,65,C,Richard Rodgers/Lorenz Hart,1954,Blue Moon (C)
Blue Room,66,66,C,Richard Rodgers/Lorenz Hart,1926,Blue Room (C)
Blue Seven,67,67,C,Sonny Rollins,1965,Blue Seven (C)
Blue Skies,68,68,C,Irving Berlin,1927,Blue Skies (C)
Blues for Alice,69,69,C,Charlie Parker,1956,Blues for Alice (C)
Bock to Bock,70,70,C,Buddy Montgomery,1957,Bock to Bock (C)
Body and Soul,71,71,C,Edward Heyman/Robert Sour/Frank Eyton/Johnny Green,1930,Body and Soul (C)
Bolivia,72,72,C,Cedar Walton,1975,Bolivia (C)
Bossa Rocka,73,73,C,George Benson,1966,Bossa Rocka (C)
Bouncin’ With Bud,74,74,C,Bud Powell,1947,Bouncin’ With Bud (C)
Broadway,75,75,C,Bill Byrd/Teddy McRae/Henri Woode,1940,Broadway (C)
But Beautiful,76,76,C,James Van Heusen/Johnny Burke,1947,But Beautiful (C)
But Not For Me,77,77,C,George & Ira Gershwin,1930,But Not For Me (C)
By Myself,78,78,C,Arthur Schwartz/Howard Dietz,1957,By Myself (C)
Bye Bye Blackbird,79,79,C,Mort Dixon/Ray Henderson,1926,Bye Bye Blackbird (C)
Cafe Regio’s,80,80,C,Isaac Hayes,1971,Cafe Regio’s (C)
Call Me,81,81,C,Tony Hatch,1965,Call Me (C)
Call Me Irresponsible,82,82,C,Sammy Cahn/James Van Heusen,1962,Call Me Irresponsible (C)
Canadian Sunset,83,83,C,Eddie Heywood/Norman Gimbel,1955,Canadian Sunset (C)
Candy,84,84,C,Mack David/Joan Whitney/Alex Kramer,1944,Candy (C)
Cantaloupe Island,85,85,C,Herbie Hancock,1975,Cantaloupe Island (C)
Caravan,86,86,C,Duke Ellington/Irving Mills/Juan Tirol,1937,Caravan (C)
Catch Me,87,87,C,Joe Pass,1963,Catch Me (C)
Ceora,88,88,C,Lee Morgan,1965,Ceora (C)
Change Partners,89,89,C,Irving Berlin,1937,Change Partners (C)
Cheek to Cheek,90,90,C,Irving Berlin,1935,Cheek to Cheek (C)
Cheesecake,91,91,C,Dexter Gordon,1962,Cheesecake (C)
Cherokee (Indian Love Song),92,92,C,Ray Noble,1938,Cherokee (Indian Love Song) (C)
Chega De Saudade (No More Blues),93,94,C,Antonio Carlos Jobim/John Hendricks/Jesse Cavanaugh,1962,Chega De Saudade (No More Blues) (C)
A Child Is Born,95,95,C,Thad Jones,1969,A Child Is Born (C)
Chlo-E,96,96,C,Neil Moret/Gus Kahn,1927,Chlo-E (C)
Close Your Eyes,97,97,C,Beatrice Petkere,1932,Close Your Eyes (C)
Come Fly With Me,98,98,C,Sammy Cahn/James Van Heusen,1958,Come Fly With Me (C)
Come Rain or Come Shine,99,99,C,Johnny Mercer/Harold Arlen,1946,Come Rain or Come Shine (C)
Come Sunday,100,100,C,Duke Ellington,1946,Come Sunday (C)
Con Alma,101,101,C,Dizzy Gillespie,1956,Con Alma (C)
Confirmation,102,102,C,Charlie Parker,1946,Confirmation (C)
Corcovado (Quiet Nights of Quiet Stars),103,102,C,Antonio Carlos Jobim/Gene Lees,1962,Corcovado (Quiet Nights of Quiet Stars) (C)
Quiet Nights of Quiet Stars (Corcovado),103,103,C,Antonio Carlos Jobim/Gene Lees,,Quiet Nights of Quiet Stars (Corcovado) (C)
Corner Pocket (Until I Met You),104,104,C,Freddie Green,1959,Corner Pocket (Until I Met You) (C)
Cottage For Sale (A),105,105,C,Larry Conley/Williard Robinson,1930,Cottage For Sale (A) (C)
Cottontail,106,106,C,Duke Ellington,1940,Cottontail (C)
Cry Me A River,107,107,C,Arthur Hamilton,1953,Cry Me A River (C)
Dancing in the Dark,108,108,C,Arthur Schwartz/Howard Dietz,1931,Dancing in the Dark (C)
Daahoud,109,110,C,Clifford Brown,1962,Daahoud (C)
Dancing on the Ceiling,111,111,C,Richard Rodgers/Lorenz Hart,1931,Dancing on the Ceiling (C)
Darn That Dream,112,112,C,Jimmy Van Heusen/Eddie DeLange,1939,Darn That Dream (C)
Day by Day,113,113,C,Sammy Cahn/Axel Stordahl,1945,Day by Day (C)
Day in the Life of a Fool (Manha de Carnival),114,114,C,Carl Sigman/Luis Bonfa,1959,Day in the Life of a Fool (Manha de Carnival) (C)
"Day In, Day Out",115,115,C,Johnny Mercer/Rube Bloom,1939,"Day In, Day Out (C)"
Daydream,116,116,C,Duke Ellington/Billy Strayhorn,1941,Daydream (C)
Days of Wine & Roses,117,117,C,Johnny Mercer/Henry Mancini,1962,Days of Wine & Roses (C)
Dearly Beloved,118,118,C,Johnny Mercer/Jerome Kern,1942,Dearly Beloved (C)
Deed I Do,119,119,C,Walter Hirsch/FredRose,1926,Deed I Do (C)
Deep Purple,120,120,C,Peter DeRose/Mitchell Parish,1934,Deep Purple (C)
Desafinado,121,122,C,Antonio Carlos Jobim/John Hendricks/Jesse Cavanaugh,1959,Desafinado (C)
Delilah,123,123,C,Victor Young,1932,Delilah (C)
Detour Ahead,124,124,C,Lou Carter/Herb Ellis/John Firgo,1947,Detour Ahead (C)
Devil May Care,125,125,C,Terrell P. Kirk/Bob Dorough,1953,Devil May Care (C)
DeweySquare,126,126,C,Charlie Parker,1958,DeweySquare (C)
Dexterity,127,127,C,Charlie Parker,1960,Dexterity (C)
Dig,128,128,C,Miles Davis/Jacki McLean,1964,Dig (C)
Dindi,129,129,C,Antonio Carlos Jobim/Ray Gilbert/Aloysio De Oliveira,1965,Dindi (C)
Django,130,130,C,John Lewis,1955,Django (C)
Django’s Castle,131,131,C,Django Reinhardt,1943,Django’s Castle (C)
Do Nothing ‘Til You Hear From Me,132,132,C,Duke Ellington/Bob Russell,1943,Do Nothing ‘Til You Hear From Me (C)
Do You Know What It Means,133,133,C,Eddie DeLange/Louis Alter,1946,Do You Know What It Means (C)
Dolphin Dance,134,134,C,Herbie Hancock,1966,Dolphin Dance (C)
Donna Lee,135,135,C,Charlie Parker,1946,Donna Lee (C)
Don't Be That Way,136,136,C,Benny Goodman/Edgar Sampson/Mitchell Parish,1938,Don't Be That Way (C)
Don’t Blame Me,137,137,C,Jimmy McHugh/Dorothy Fields,1932,Don’t Blame Me (C)
Don’t Get Around Much Anymore,138,138,C,Duke Ellington/Bob Russell,1942,Don’t Get Around Much Anymore (C)
Don’t Take Your Love From Me,139,139,C,Henry Nemo,1941,Don’t Take Your Love From Me (C)
Doxy,140,140,C,Sonny Rollins,1963,Doxy (C)
Dreamer (Vivo Sonhando),141,141,C,Antonio Carlos Jobim/Gene Lees,1963,Dreamer (Vivo Sonhando) (C)
Dreamsville,142,142,C,Henry Mancini,1959,Dreamsville (C)
Driftin’,143,143,C,Herbie Hancock,1973,Driftin’ (C)
"Drive, The",144,144,C,Oliver Nelson,1961,"Drive, The (C)"
"Duke, The",145,145,C,Dave Brubeck,1955,"Duke, The (C)"
Early Autumn,146,146,C,Johnny Mercer/Woody Herman/Ralph Burns,1949,Early Autumn (C)
East of the Sun and West of the Moon,147,147,C,Brooks Bowman,1934,East of the Sun and West of the Moon (C)
Easy Living,148,148,C,Leo Robin/Ralph Rainger,1937,Easy Living (C)
Easy Time,149,149,C,Louis Bellson,1956,Easy Time (C)
Easy To Love,150,150,C,Cole Porter,1936,Easy To Love (C)
Ecaroh,151,152,C,Horace Silver,1984,Ecaroh (C)
Eclypso,153,153,C,Tommy Flannigan,1991,Eclypso (C)
Embraceable You,154,154,C,George & Ira Gershwin,1930,Embraceable You (C)
Emily,155,155,C,Johnny Mercer/Johnny Mandel,1964,Emily (C)
End of a Love Affair,156,156,C,Edward C. Redding,1950,End of a Love Affair (C)
Estate (Summer),157,157,C,Bruno Martino/Bruno Brighetti,1960,Estate (Summer) (C)
Eternal Triangle,158,158,C,Sonny Stitt,1957,Eternal Triangle (C)
Every Time We Say Goodbye,159,159,C,Cole Porter,1944,Every Time We Say Goodbye (C)
Everything Happens To Me,160,160,C,Tom Adair/Matt Dennis,1941,Everything Happens To Me (C)
Everything I Have Is Yours,161,161,C,Harold Adamson/Burton Lane,1933,Everything I Have Is Yours (C)
Everything I Love,162,162,C,Cole Porter,1941,Everything I Love (C)
Exactly Like You,163,163,C,Jimmy McHugh/Dorothy Fields,1930,Exactly Like You (C)
"Face I Love, The",164,164,C,Marcos Valle/Ray Gilbert,1966,"Face I Love, The (C)"
Falling In Love with Love,165,165,C,Richard Rodgers/Lorenz Hart,1938,Falling In Love with Love (C)
Far Wes,166,166,C,Wes Montgomery,1977,Far Wes (C)
Fascination,167,167,C,Fermo Dante Marcetti,1932,Fascination (C)
Fascinating Rhythm,168,168,C,George & Ira Gershwin,1924,Fascinating Rhythm (C)
Favela,169,169,C,Antonio Carlos Jobim,1963,Favela (C)
A Felicidade,170,170,C,Antonio Carlos Jobim/Vinicius De Moraes,1959,A Felicidade (C)
Filthy McNasty,171,171,C,Horace Silver,1961,Filthy McNasty (C)
Fine Romance,172,172,C,Jerome Kern/Dorothy Fields,1936,Fine Romance (C)
Five Brothers,173,173,C,Gerry Mulligan,1949,Five Brothers (C)
Five Spot after Dark,174,174,C,Benny Golson,1959,Five Spot after Dark (C)
Flamingo,175,175,C,Ed Anderson/Ted Grouya,1941,Flamingo (C)
Fly Me to the Moon,176,176,C,Bart Howard,1954,Fly Me to the Moon (C)
Foggy Day,177,177,C,George & Ira Gershwin,1937,Foggy Day (C)
Folks Who Live On the Hill,178,178,C,Jerome Kern/Oscar Hammerstein,1937,Folks Who Live On the Hill (C)
Fools Rush In,179,179,C,Johnny Mercer/Rube Bloom,1940,Fools Rush In (C)
Footprints,180,180,C,Wayne Shorter,1976,Footprints (C)
For All We Know,181,181,C,J. Fred Coots/Sam M. Lewis,1934,For All We Know (C)
For Heaven’s Sake,182,182,C,Don Meyer/Elise Bretton/Sherman Edwards,1948,For Heaven’s Sake (C)
For Minors Only,183,183,C,Jimmy Heath,1959,For Minors Only (C)
For Sentimental Reasons,184,184,C,Derek Watson/William Best,1947,For Sentimental Reasons (C)
Forest Flower,185,185,C,Charles Lloyd,1964,Forest Flower (C)
Fotografia,186,186,C,Antonio Carlos Jobim/Ray Gilbert,1971,Fotografia (C)
Four,187,187,C,Miles Davis/Jon Hendricks,1963,Four (C)
Four Brothers,188,188,C,Jimmy Giuffre,1948,Four Brothers (C)
Four on Six,189,189,C,Wes Montgomery,1960,Four on Six (C)
Freddie Freeloader,190,190,C,Miles Davis,1959,Freddie Freeloader (C)
Freedom Jazz Dance,191,191,C,Eddie Harris,1965,Freedom Jazz Dance (C)
Freight Trane,192,192,C,Tommy Flannigan,1969,Freight Trane (C)
Fried Bananas,193,194,C,Dexter Gordon,1967,Fried Bananas (C)
Fried Pies,195,195,C,Wes Montgomery,1965,Fried Pies (C)
"Gee Baby, Ain’t I Good To You",196,196,C,Don Redman/Andy Razaf,1929,"Gee Baby, Ain’t I Good To You (C)"
Gentle Rain,197,197,C,Matt Dubey/Luiz Bonfa,1965,Gentle Rain (C)
Georgia On My Mind,198,198,C,Hoagy Carmichael,1930,Georgia On My Mind (C)
Get Out of Town,199,199,C,Cole Porter,1938,Get Out of Town (C)
I’m Getting Sentimental Over You,200,200,C,Ned Washington/George Bassman,1932,I’m Getting Sentimental Over You (C)
Ghost of a Chance,201,201,C,Ned Washington/Victor Young,1932,Ghost of a Chance (C)
"Girl From Ipanema, The",202,202,C,Antonio Carlos Jobim/Norman Gimbel/Vinicius De Moraes,1963,"Girl From Ipanema, The (C)"
"Girl Next Door, The",203,203,C,Hugh Martin/Ralph Blane,1943,"Girl Next Door, The (C)"
Girl Talk,204,204,C,Neal Hefti/Bobby Troup,1965,Girl Talk (C)
Give Me the Simple Life,205,205,C,Rube Bloom/Harry Ruby,1945,Give Me the Simple Life (C)
God Bless the Child,206,206,C,Arthur Herzog/Billy Holiday,1941,God Bless the Child (C)
Gone With the Wind,207,207,C,Allie Wrubel/Herb Madison,1937,Gone With the Wind (C)
Good Bait,208,208,C,Tadd Dammeron/Count Basie,1944,Good Bait (C)
"Good Life, The",209,209,C,Sacha Distel/Jack Reardon,1962,"Good Life, The (C)"
Gravy Waltz,210,210,C,Steve Allen/Ray Brown,1962,Gravy Waltz (C)
Gratitude,211,212,C,Horace Silver,1996,Gratitude (C)
"Great Pumpkin Waltz, The",213,213,C,Vince Guaraldi,1969,"Great Pumpkin Waltz, The (C)"
