Song,Title,Book,Length,Offset,Start,End
AFFIRMATION             ,AFFIRMATION - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,14,14
AIREGN                  ,AIREGN - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,15,15
ALL OF ME               ,ALL OF ME - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,17,17
ALWAYS THERE            ,ALWAYS THERE - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,18,19
ANA MARIA               ,ANA MARIA - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,20,21
ANGEL EYES              ,ANGEL EYES - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,22,23
ANTHROPOLOGY            ,ANTHROPOLOGY - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,24,24
AUTUMN LEAVES           ,AUTUMN LEAVES - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,25,25
BABY  I LOVE YOU        ,BABY I LOVE YOU - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,26,27
BASIN STREET BLUES      ,BASIN STREET BLUES - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,28,28
BEAUTIFUL LOVE          ,BEAUTIFUL LOVE - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,29,29
BERNIE'S TUNE           ,BERNIE'S TUNE - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,30,30
BIRD FOOD               ,BIRD FOOD - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,31,31
BLACK ICE               ,BLACK ICE - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,32,33
BLACK NARCISSUS         ,BLACK NARCISSUS - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,35,35
BLIZZARD OF LIES        ,BLIZZARD OF LIES - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,36,37
BLUE BOSSA              ,BLUE BOSSA - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,38,38
BLUE DANIEL             ,BLUE DANIEL - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,39,39
BLUES CONNOTATION       ,BLUES CONNOTATION - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,40,40
BLUES ON THE CORNER     ,BLUES ON THE CORNER - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,41,41
BOOGIE DOWN             ,BOOGIE DOWN - Bb Item nrb1,The New Real Book Eb I.pdf,3,0,42,44
BOTH SIDES OF THE COIN  ,BOTH SIDES OF THE COIN - Bb Item nrb1,The New Real Book Eb I.pdf,2,1,46,47
BOUNCING WITH BUD       ,BOUNCING WITH BUD - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,48,49
BREAKFAST WINE          ,BREAKFAST WINE - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,50,51
BREAKIN' AWAY          ,BREAKIN' AWAY - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,52,53
BUT BEAUTIFUL           ,BUT BEAUTIFUL - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,55,55
CHAIN OF FOOLS          ,CHAIN OF FOOLS - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,56,57
CHANGE OF MIND          ,CHANGE OF MIND - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,58,59
CHEGA DE SAUDADE        ,CHEGA DE SAUDADE - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,60,61
CHELSEA BRIDGE          ,CHELSEA BRIDGE - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,62,62
COME SUNDAY             ,COME SUNDAY - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,63,63
COMPARED TO WHAT        ,COMPARED TO WHAT - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,64,65
CREEK                   ,CREEK - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,67,67
CRYSTAL LOVE            ,CRYSTAL LOVE - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,68,69
CUBANO CHANT            ,CUBANO CHANT - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,70,71
DARN THAT DREAM         ,DARN THAT DREAM - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,73,73
DELEVANS               ,DELEVANS - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,74,75
DESAFINADO              ,DESAFINADO - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,76,77
DESIRE                  ,DESIRE - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,78,78
DIG                     ,DIG - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,79,79
DINDI                   ,DINDI - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,80,81
DON'T GO TO STRANGERS   ,DON'T GO TO STRANGERS - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,82,82
DOORS                   ,DOORS - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,83,83
EARLY AUTUMN            ,EARLY AUTUMN - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,85,85
EASY                    ,EASY - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,86,87
EIGHTY ONE              ,EIGHTY ONE - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,89,89
ELM                     ,ELM - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,90,91
ENDANGERED SPECIES      ,ENDANGERED SPECIES - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,92,93
E.S.P.                  ,E.S.P. - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,95,95
EVERYTHING HAPPENS TO ME,EVERYTHING HAPPENS TO ME - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,96,97
FALL                    ,FALL - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,98,98
FARMERS MARKET          ,FARMERS MARKET - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,99,99
FAVELA                  ,FAVELA - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,100,100
FEEL LIKE MAKIN' LOVE   ,FEEL LIKE MAKIN' LOVE - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,101,101
FIRE                    ,FIRE - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,102,102
FIRST LIGHT                    ,FIRST LIGHT - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,103,103
FOOLKILLER                     ,FOOLKILLER - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,104,104
FOOTPRINTS                     ,FOOTPRINTS - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,105,105
FOUR                           ,FOUR - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,106,107
FOUR BROTHERS                  ,FOUR BROTHERS - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,108,108
FOUR ON SIX                    ,FOUR ON SIX - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,109,109
FRIENDS AND STRANGERS          ,FRIENDS AND STRANGERS - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,110,111
FUNKALLERO                     ,FUNKALLERO - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,113,113
GAVIOTA                        ,GAVIOTA - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,114,115
GEE BABY  AIN'T I GOOD TO YOU  ,GEE BABY AIN'T I GOOD TO YOU - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,117,117
GEMINI                         ,GEMINI - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,118,119
GLORIA'S STEP                  ,GLORIA'S STEP - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,121,121
GOIN' HOME                     ,GOIN' HOME - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,122,123
GONE WITH THE WIND             ,GONE WITH THE WIND - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,125,125
THE GOODBYE LOOK               ,THE GOODBYE LOOK - Bb Item nrb1,The New Real Book Eb I.pdf,4,0,126,129
GUARLTJA                       ,GUARLTJA - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,130,131
HALLUCINATIONS                 ,HALLUCINATIONS - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,132,133
HAUNTED BALLROOM               ,HAUNTED BALLROOM - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,135,135
HAVONA                         ,HAVONA - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,136,136
HERE'S THAT RAINY DAY          ,HERE'S THAT RAINY DAY - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,137,137
HIDEAWAY                       ,HIDEAWAY - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,138,138
I LOVE LUCY                    ,I LOVE LUCY - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,139,139
I MEAN YOU                     ,I MEAN YOU - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,140,141
I SHOULD CARE                  ,I SHOULD CARE - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,142,142
I THOUGHT ABOUT YOU            ,I THOUGHT ABOUT YOU - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,143,143
IF I VVERE A BELL              ,IF I VVERE A BELL - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,144,145
IF YOU NEVER COME TO ME        ,IF YOU NEVER COME TO ME - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,147,147
I'LL TAKE ROMANCE              ,I'LL TAKE ROMANCE - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,148,149
I'M ALL SMILES                  ,I'M ALL SMILES - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,150,151
IMAGINATION                    ,IMAGINATION - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,152,152
