Song,Title,Book,Length,Offset,Start,End
AFFIRMATION             ,AFFIRMATION - C Item nrb1,The New Real Book C.pdf,1,0,14,14
AIREGN                  ,AIREGN - C Item nrb1,The New Real Book C.pdf,1,0,15,15
ALL OF ME               ,ALL OF ME - C Item nrb1,The New Real Book C.pdf,1,1,17,17
ALWAYS THERE            ,ALWAYS THERE - C Item nrb1,The New Real Book C.pdf,2,0,18,19
ANA MARIA               ,ANA MARIA - C Item nrb1,The New Real Book C.pdf,2,0,20,21
ANGEL EYES              ,ANGEL EYES - C Item nrb1,The New Real Book C.pdf,2,0,22,23
ANTHROPOLOGY            ,ANTHROPOLOGY - C Item nrb1,The New Real Book C.pdf,1,0,24,24
AUTUMN LEAVES           ,AUTUMN LEAVES - C Item nrb1,The New Real Book C.pdf,1,0,25,25
BABY  I LOVE YOU        ,BABY I LOVE YOU - C Item nrb1,The New Real Book C.pdf,2,0,26,27
BASIN STREET BLUES      ,BASIN STREET BLUES - C Item nrb1,The New Real Book C.pdf,1,0,28,28
BEAUTIFUL LOVE          ,BEAUTIFUL LOVE - C Item nrb1,The New Real Book C.pdf,1,0,29,29
BERNIE'S TUNE           ,BERNIE'S TUNE - C Item nrb1,The New Real Book C.pdf,1,0,30,30
BIRD FOOD               ,BIRD FOOD - C Item nrb1,The New Real Book C.pdf,1,0,31,31
BLACK ICE               ,BLACK ICE - C Item nrb1,The New Real Book C.pdf,2,0,32,33
BLACK NARCISSUS         ,BLACK NARCISSUS - C Item nrb1,The New Real Book C.pdf,1,1,35,35
BLIZZARD OF LIES        ,BLIZZARD OF LIES - C Item nrb1,The New Real Book C.pdf,2,0,36,37
BLUE BOSSA              ,BLUE BOSSA - C Item nrb1,The New Real Book C.pdf,1,0,38,38
BLUE DANIEL             ,BLUE DANIEL - C Item nrb1,The New Real Book C.pdf,1,0,39,39
BLUES CONNOTATION       ,BLUES CONNOTATION - C Item nrb1,The New Real Book C.pdf,1,0,40,40
BLUES ON THE CORNER     ,BLUES ON THE CORNER - C Item nrb1,The New Real Book C.pdf,1,0,41,41
BOOGIE DOWN             ,BOOGIE DOWN - C Item nrb1,The New Real Book C.pdf,5,0,42,46
BOTH SIDES OF THE COIN  ,BOTH SIDES OF THE COIN - C Item nrb1,The New Real Book C.pdf,2,1,48,49
BOUNCING WITH BUD       ,BOUNCING WITH BUD - C Item nrb1,The New Real Book C.pdf,2,0,50,51
BREAKFAST WINE          ,BREAKFAST WINE - C Item nrb1,The New Real Book C.pdf,2,0,52,53
BREAKIN' AWAY          ,BREAKIN' AWAY - C Item nrb1,The New Real Book C.pdf,2,0,54,55
BUT BEAUTIFUL           ,BUT BEAUTIFUL - C Item nrb1,The New Real Book C.pdf,1,1,57,57
CHAIN OF FOOLS          ,CHAIN OF FOOLS - C Item nrb1,The New Real Book C.pdf,2,0,58,59
CHANGE OF MIND          ,CHANGE OF MIND - C Item nrb1,The New Real Book C.pdf,2,0,60,61
CHEGA DE SAUDADE        ,CHEGA DE SAUDADE - C Item nrb1,The New Real Book C.pdf,2,0,62,63
CHELSEA BRIDGE          ,CHELSEA BRIDGE - C Item nrb1,The New Real Book C.pdf,1,0,64,64
COME SUNDAY             ,COME SUNDAY - C Item nrb1,The New Real Book C.pdf,1,0,65,65
COMPARED TO WHAT        ,COMPARED TO WHAT - C Item nrb1,The New Real Book C.pdf,2,0,66,67
CREEK                   ,CREEK - C Item nrb1,The New Real Book C.pdf,1,1,69,69
CRYSTAL LOVE            ,CRYSTAL LOVE - C Item nrb1,The New Real Book C.pdf,2,0,70,71
CUBANO CHANT            ,CUBANO CHANT - C Item nrb1,The New Real Book C.pdf,2,0,72,73
DARN THAT DREAM         ,DARN THAT DREAM - C Item nrb1,The New Real Book C.pdf,1,1,75,75
DELEVANS               ,DELEVANS - C Item nrb1,The New Real Book C.pdf,2,0,76,77
DESAFINADO              ,DESAFINADO - C Item nrb1,The New Real Book C.pdf,2,0,78,79
DESIRE                  ,DESIRE - C Item nrb1,The New Real Book C.pdf,2,0,80,81
DIG                     ,DIG - C Item nrb1,The New Real Book C.pdf,1,1,83,83
DINDI                   ,DINDI - C Item nrb1,The New Real Book C.pdf,2,0,84,85
DON'T GO TO STRANGERS   ,DON'T GO TO STRANGERS - C Item nrb1,The New Real Book C.pdf,1,1,87,87
DOORS                   ,DOORS - C Item nrb1,The New Real Book C.pdf,1,0,88,88
EARLY AUTUMN            ,EARLY AUTUMN - C Item nrb1,The New Real Book C.pdf,1,0,89,89
EASY                    ,EASY - C Item nrb1,The New Real Book C.pdf,2,0,90,91
EIGHTY ONE              ,EIGHTY ONE - C Item nrb1,The New Real Book C.pdf,2,0,92,93
ELM                     ,ELM - C Item nrb1,The New Real Book C.pdf,2,0,94,95
ENDANGERED SPECIES      ,ENDANGERED SPECIES - C Item nrb1,The New Real Book C.pdf,6,0,96,101
E.S.P.                  ,E.S.P. - C Item nrb1,The New Real Book C.pdf,1,1,103,103
EVERYTHING HAPPENS TO ME,EVERYTHING HAPPENS TO ME - C Item nrb1,The New Real Book C.pdf,2,0,104,105
FALL                    ,FALL - C Item nrb1,The New Real Book C.pdf,1,0,106,106
FARMERS MARKET          ,FARMERS MARKET - C Item nrb1,The New Real Book C.pdf,1,0,107,107
FAVELA                  ,FAVELA - C Item nrb1,The New Real Book C.pdf,1,0,108,108
FEEL LIKE MAKIN' LOVE   ,FEEL LIKE MAKIN' LOVE - C Item nrb1,The New Real Book C.pdf,1,0,109,109
FIRE                    ,FIRE - C Item nrb1,The New Real Book C.pdf,1,0,110,110
FIRST LIGHT                    ,FIRST LIGHT - C Item nrb1,The New Real Book C.pdf,1,0,111,111
FOOLKILLER                     ,FOOLKILLER - C Item nrb1,The New Real Book C.pdf,1,0,112,112
FOOTPRINTS                     ,FOOTPRINTS - C Item nrb1,The New Real Book C.pdf,1,0,113,113
FOUR                           ,FOUR - C Item nrb1,The New Real Book C.pdf,2,0,114,115
FOUR BROTHERS                  ,FOUR BROTHERS - C Item nrb1,The New Real Book C.pdf,1,0,116,116
FOUR ON SIX                    ,FOUR ON SIX - C Item nrb1,The New Real Book C.pdf,1,0,117,117
FRIENDS AND STRANGERS          ,FRIENDS AND STRANGERS - C Item nrb1,The New Real Book C.pdf,2,0,118,119
FUNKALLERO                     ,FUNKALLERO - C Item nrb1,The New Real Book C.pdf,1,1,121,121
GAVIOTA                        ,GAVIOTA - C Item nrb1,The New Real Book C.pdf,2,0,122,123
GEE BABY  AIN'T I GOOD TO YOU  ,GEE BABY AIN'T I GOOD TO YOU - C Item nrb1,The New Real Book C.pdf,1,1,125,125
GEMINI                         ,GEMINI - C Item nrb1,The New Real Book C.pdf,5,0,126,130
GLORIA'S STEP                  ,GLORIA'S STEP - C Item nrb1,The New Real Book C.pdf,1,0,131,131
GOIN' HOME                     ,GOIN' HOME - C Item nrb1,The New Real Book C.pdf,4,0,132,135
GONE WITH THE WIND             ,GONE WITH THE WIND - C Item nrb1,The New Real Book C.pdf,1,1,137,137
THE GOODBYE LOOK               ,THE GOODBYE LOOK - C Item nrb1,The New Real Book C.pdf,4,0,138,141
GUARLTJA                       ,GUARLTJA - C Item nrb1,The New Real Book C.pdf,2,0,142,143
HALLUCINATIONS                 ,HALLUCINATIONS - C Item nrb1,The New Real Book C.pdf,2,0,144,145
HAUNTED BALLROOM               ,HAUNTED BALLROOM - C Item nrb1,The New Real Book C.pdf,1,1,147,147
HAVONA                         ,HAVONA - C Item nrb1,The New Real Book C.pdf,2,0,148,149
HERE'S THAT RAINY DAY          ,HERE'S THAT RAINY DAY - C Item nrb1,The New Real Book C.pdf,1,1,151,151
HIDEAWAY                       ,HIDEAWAY - C Item nrb1,The New Real Book C.pdf,2,0,152,153
I LOVE LUCY                    ,I LOVE LUCY - C Item nrb1,The New Real Book C.pdf,1,1,155,155
I MEAN YOU                     ,I MEAN YOU - C Item nrb1,The New Real Book C.pdf,2,0,156,157
I SHOULD CARE                  ,I SHOULD CARE - C Item nrb1,The New Real Book C.pdf,1,0,158,158
I THOUGHT ABOUT YOU            ,I THOUGHT ABOUT YOU - C Item nrb1,The New Real Book C.pdf,1,0,159,159
IF I VVERE A BELL              ,IF I VVERE A BELL - C Item nrb1,The New Real Book C.pdf,2,0,160,161
IF YOU NEVER COME TO ME        ,IF YOU NEVER COME TO ME - C Item nrb1,The New Real Book C.pdf,1,1,163,163
I'LL TAKE ROMANCE              ,I'LL TAKE ROMANCE - C Item nrb1,The New Real Book C.pdf,2,0,164,165
I'M ALL SMILES                  ,I'M ALL SMILES - C Item nrb1,The New Real Book C.pdf,2,0,166,167
I'M OLD FASHIONED,I'M OLD FASHIONED - C Item nrb1,The New Real Book C.pdf,1,0,168,168
IMAGINATION                    ,IMAGINATION - C Item nrb1,The New Real Book C.pdf,1,0,169,169
IN WALKED BUD                  ,IN WALKED BUD - C Item nrb1,The New Real Book C.pdf,1,1,171,171
THE ISLAND                     ,THE ISLAND - C Item nrb1,The New Real Book C.pdf,2,0,172,173
IT HAPPENS EVERY DAY           ,IT HAPPENS EVERY DAY - C Item nrb1,The New Real Book C.pdf,2,0,174,175
JERSEY BOUNCE                  ,JERSEY BOUNCE - C Item nrb1,The New Real Book C.pdf,1,1,177,177
JOSHUA                         ,JOSHUA - C Item nrb1,The New Real Book C.pdf,2,0,178,179
KEEP THAT SAME OLD FEELING     ,KEEP THAT SAME OLD FEELING - C Item nrb1,The New Real Book C.pdf,2,0,180,181
KILLING ME SOFTLY WITH HIS SONG,KILLING ME SOFTLY WITH HIS SONG - C Item nrb1,The New Real Book C.pdf,1,1,183,183
LA SAMBA                       ,LA SAMBA - C Item nrb1,The New Real Book C.pdf,2,0,184,185
LA VIDA FELIZ                  ,LA VIDA FELIZ - C Item nrb1,The New Real Book C.pdf,4,0,186,189
LADY BIRD                      ,LADY BIRD - C Item nrb1,The New Real Book C.pdf,2,0,190,191
LAST FIRST                     ,LAST FIRST - C Item nrb1,The New Real Book C.pdf,2,0,192,193
LAST TRAIN FROM OVERBROOK      ,LAST TRAIN FROM OVERBROOK - C Item nrb1,The New Real Book C.pdf,1,0,194,194
LAURIE                         ,LAURIE - C Item nrb1,The New Real Book C.pdf,1,0,195,195
LET ME BE THE ONE              ,LET ME BE THE ONE - C Item nrb1,The New Real Book C.pdf,2,0,196,197
LETS GO DANCIN'                ,LETS GO DANCIN' - C Item nrb1,The New Real Book C.pdf,2,0,198,199
LIKE SOMEONE IN LOVE           ,LIKE SOMEONE IN LOVE - C Item nrb1,The New Real Book C.pdf,1,0,200,200
LINE FOR LYONS                 ,LINE FOR LYONS - C Item nrb1,The New Real Book C.pdf,1,0,201,201
LITTLE SUNFLOWER               ,LITTLE SUNFLOWER - C Item nrb1,The New Real Book C.pdf,1,0,202,202
A LITTLE TEAR                  ,A LITTLE TEAR - C Item nrb1,The New Real Book C.pdf,1,0,203,203
LITTLE WALTZ                   ,LITTLE WALTZ - C Item nrb1,The New Real Book C.pdf,1,0,204,204
LONG AGO & FAR AWAY,LONG AGO & FAR AWAY - C Item nrb1,The New Real Book C.pdf,1,0,205,205
LOVE CAME ON STEALTHY FINGERS  ,LOVE CAME ON STEALTHY FINGERS - C Item nrb1,The New Real Book C.pdf,2,0,206,207
LOVE DANCE                     ,LOVE DANCE - C Item nrb1,The New Real Book C.pdf,2,0,208,209
LUSH LIFE                      ,LUSH LIFE - C Item nrb1,The New Real Book C.pdf,2,0,210,211
MADAGASCAR                     ,MADAGASCAR - C Item nrb1,The New Real Book C.pdf,2,0,212,213
MAKE ME A MEMORY (Sad Samba)   ,MAKE ME A MEMORY (Sad Samba) - C Item nrb1,The New Real Book C.pdf,1,1,215,215
MATINEE IDOL                   ,MATINEE IDOL - C Item nrb1,The New Real Book C.pdf,2,0,216,217
MERCY  MERCY  MERCY            ,MERCY MERCY MERCY - C Item nrb1,The New Real Book C.pdf,2,0,218,219
THE MIDNIGHT SUN               ,THE MIDNIGHT SUN - C Item nrb1,The New Real Book C.pdf,1,0,220,220
THE MIDNIGHT SUN WILL NEVER SET,THE MIDNIGHT SUN WILL NEVER SET - C Item nrb1,The New Real Book C.pdf,1,0,221,221
