Song,Title,Book,Length,Offset,Start,End
AFFIRMATION             ,AFFIRMATION - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,14,14
AIREGN                  ,AIREGN - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,15,15
ALL OF ME               ,ALL OF ME - Eb Item nrb1,The New Real Book Eb I.pdf,1,1,17,17
ALWAYS THERE            ,ALWAYS THERE - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,18,19
ANA MARIA               ,ANA MARIA - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,20,21
ANGEL EYES              ,ANGEL EYES - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,22,23
ANTHROPOLOGY            ,ANTHROPOLOGY - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,24,24
AUTUMN LEAVES           ,AUTUMN LEAVES - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,25,25
BABY  I LOVE YOU        ,BABY I LOVE YOU - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,26,27
BASIN STREET BLUES      ,BASIN STREET BLUES - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,28,28
BEAUTIFUL LOVE          ,BEAUTIFUL LOVE - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,29,29
BERNIE'S TUNE           ,BERNIE'S TUNE - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,30,30
BIRD FOOD               ,BIRD FOOD - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,31,31
BLACK ICE               ,BLACK ICE - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,32,33
BLACK NARCISSUS         ,BLACK NARCISSUS - Eb Item nrb1,The New Real Book Eb I.pdf,1,1,35,35
BLIZZARD OF LIES        ,BLIZZARD OF LIES - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,36,37
BLUE BOSSA              ,BLUE BOSSA - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,38,38
BLUE DANIEL             ,BLUE DANIEL - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,39,39
BLUES CONNOTATION       ,BLUES CONNOTATION - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,40,40
BLUES ON THE CORNER     ,BLUES ON THE CORNER - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,41,41
BOOGIE DOWN             ,BOOGIE DOWN - Eb Item nrb1,The New Real Book Eb I.pdf,3,0,42,44
