Song,Title,,Length,Offset,Start,End
ACTUAL PROOF               ,ACTUAL PROOF - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,11,11
THE AERIE                  ,THE AERIE - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,12,13
AIN'T THAT PECULIAR        ,AIN'T THAT PECULIAR - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,14,15
AJA'S THEME                ,AJA'S THEME - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,16,16
ALMOST LIKE BEING IN LOVE  ,ALMOST LIKE BEING IN LOVE - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,17,17
AMERICAN GOTHIC            ,AMERICAN GOTHIC - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,18,19
AND IT ALL GOES ROUND      ,AND IT ALL GOES ROUND - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,20,21
ANOTHER STAR               ,ANOTHER STAR - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,22,23
ANOTHER TIME               ,ANOTHER TIME - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,25,25
APPOINTMENT IN GHANA       ,APPOINTMENT IN GHANA - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,26,27
ARIETAS                    ,ARIETAS - Eb Item nrb3,The New Real Book Eb III.pdf,3,1,29,31
AUTUMN SERENADE            ,AUTUMN SERENADE - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,32,33
B-STING                    ,B-STING - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,34,35
BABY COME TO ME            ,BABY COME TO ME - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,36,37
BACKSTAGE SALLY            ,BACKSTAGE SALLY - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,38,39
A BALLAD FOR DOLL          ,A BALLAD FOR DOLL - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,41,41
BALLAD FOR TWO MUSICIANS   ,BALLAD FOR TWO MUSICIANS - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,42,43
BIRD OF BEAUTY             ,BIRD OF BEAUTY - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,44,45
BLACK NILE                 ,BLACK NILE - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,47,47
BLUE MOON                  ,BLUE MOON - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,48,49
BLUE SPIRITS               ,BLUE SPIRITS - Eb Item nrb3,The New Real Book Eb III.pdf,4,0,50,53
BLUE TUESDAY               ,BLUE TUESDAY - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,55,55
BODY AND SOUL               ,BODY AND SOUL - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,56,57
BROTHERS OF THE BOTTOM ROW ,BROTHERS OF THE BOTTOM ROW - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,58,59
BU'S DELIGHT               ,BU'S DELIGHT - Eb Item nrb3,The New Real Book Eb III.pdf,4,0,60,63
BUD POWELL                 ,BUD POWELL - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,64,65
BUTTERFLY                  ,BUTTERFLY - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,66,67
CAN'T STOP THE WIND        ,CAN'T STOP THE WIND - Eb Item nrb3,The New Real Book Eb III.pdf,4,0,68,71
CARAVAN                    ,CARAVAN - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,72,73
CEORA                      ,CEORA - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,75,75
CHAIRS AND CHILDREN        ,CHAIRS AND CHILDREN - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,76,77
CHICK'S TUNE               ,CHICK'S TUNE - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,78,79
CIRCULAR MOTION            ,CIRCULAR MOTION - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,80,80
CIRRUS                     ,CIRRUS - Eb Item nrb3,The New Real Book Eb III.pdf,4,1,82,85
CLOSE YOUR EYES            ,CLOSE YOUR EYES - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,86,86
COOL GREEN                 ,COOL GREEN - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,87,87
CREEPIN'                   ,CREEPIN' - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,88,89
D MINOR MINT               ,D MINOR MINT - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,91,91
DADDY'S GIRL  CYNTHIA      ,DADDY'S GIRL CYNTHIA - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,92,93
DANCING IN THE STREET      ,DANCING IN THE STREET - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,94,95
DARIUS DANCE               ,DARIUS DANCE - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,96,97
DAY DREAM                  ,DAY DREAM - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,98,98
DEXTER                     ,DEXTER - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,99,99
DIENDA   ,DIENDA - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,101,101
DIVERTAMENTO               ,DIVERTAMENTO - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,102,103
DOLPHIN DANCE              ,DOLPHIN DANCE - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,105,105
DON'T ASK WHY              ,DON'T ASK WHY - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,106,106
DON'T BE THAT WAY          ,DON'T BE THAT WAY - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,107,107
DON'T BLAME ME             ,DON'T BLAME ME - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,108,108
THE DOUBLE UP              ,THE DOUBLE UP - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,109,109
DREAMIN'                   ,DREAMIN' - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,110,111
EL GAUCHO                  ,EL GAUCHO - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,113,113
EMILY                           ,EMILY - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,114,114
EVERYTHING I HAVE IS YOURS      ,EVERYTHING I HAVE IS YOURS - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,115,115
FALL WITH ME                    ,FALL WITH ME - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,116,117
FOR ALL WE KNOW                 ,FOR ALL WE KNOW - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,118,118
FREEDOMLAND                     ,FREEDOMLAND - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,119,119
FROM DAY TO DAY                 ,FROM DAY TO DAY - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,120,121
THE GENTLE RAIN                 ,THE GENTLE RAIN - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,123,123
GET READY                       ,GET READY - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,124,125
A GHOST OF A CHANCE ,A GHOST OF A CHANCE - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,127,127
GRAND CENTRAL                   ,GRAND CENTRAL - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,128,129
GUSH                            ,GUSH - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,130,131
HARD EIGHTS                     ,HARD EIGHTS - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,132,133
HEAT WAVE                       ,HEAT WAVE - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,134,135
HERZOG                          ,HERZOG - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,136,137
HOLD ON  I'M COMING             ,HOLD ON I'M COMING - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,139,139
HOW SWEET IT IS                 ,HOW SWEET IT IS - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,140,141
I CAN'T HELP IT                 ,I CAN'T HELP IT - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,142,142
I FALL IN LOVE TOO EASILY       ,I FALL IN LOVE TOO EASILY - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,143,143
I GOT IT BAD                    ,I GOT IT BAD - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,144,145
I HEAR A RHAPSODY               ,I HEAR A RHAPSODY - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,147,147
I HEARD IT THROUGH THE GRAPEVINE,I HEARD IT THROUGH THE GRAPEVINE - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,148,149
I WANTED TO SAY                 ,I WANTED TO SAY - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,150,150
I'M GETTING SENTIMENTAL OVER YOU,I'M GETTING SENTIMENTAL OVER YOU - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,151,151
I'M LOSING YOU                  ,I'M LOSING YOU - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,152,153
I'M THROUGH WITH LOVE           ,I'M THROUGH WITH LOVE - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,154,155
IF YOU COULD SEE ME NOW         ,IF YOU COULD SEE ME NOW - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,156,157
IN A MELLOW TONE                ,IN A MELLOW TONE - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,159,159
IN A SENTIMENTAL MOOD           ,IN A SENTIMENTAL MOOD - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,160,161
IN CASE YOU MISSED IT           ,IN CASE YOU MISSED IT - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,162,163
IN LOVE WITH NIGHT              ,IN LOVE WITH NIGHT - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,164,164
INNER URGE                      ,INNER URGE - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,165,165
INVITATION                      ,INVITATION - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,166,167
ISOAR                           ,ISOAR - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,168,169
ISOTOPE                         ,ISOTOPE - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,171,171
IT ALWAYS IS                    ,IT ALWAYS IS - Eb Item nrb3,The New Real Book Eb III.pdf,4,0,172,175
JEAN DE FLEUR                   ,JEAN DE FLEUR - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,176,177
THE JITTERBUG WALTZ             ,THE JITTERBUG WALTZ - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,178,178
JOHN'S WALTZ                    ,JOHN'S WALTZ - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,179,179
JUST FRIENDS                    ,JUST FRIENDS - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,180,180
JUST SQUEEZE ME                 ,JUST SQUEEZE ME - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,181,181
JUST YOU  JUST ME               ,JUST YOU JUST ME - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,183,183
KAHLIL THE PROPHET              ,KAHLIL THE PROPHET - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,184,185
KNOCK ON WOOD                   ,KNOCK ON WOOD - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,186,187
THE LAMP IS LOW                 ,THE LAMP IS LOW - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,189,189
LAST NITE                       ,LAST NITE - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,190,191
LAST SEASON                     ,LAST SEASON - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,192,193
LAURA                           ,LAURA - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,195,195
LET'S STAY TOGETHER             ,LET'S STAY TOGETHER - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,196,197
LITHA                           ,LITHA - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,198,199
LONELY WOMAN                    ,LONELY WOMAN - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,201,201
LOOK AT THE BIRDIE              ,LOOK AT THE BIRDIE - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,202,203
LOVE LETTER                     ,LOVE LETTER - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,205,205
LOVE'S HAUNTS                   ,LOVE'S HAUNTS - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,206,207
LULLABY IN RHYTHM               ,LULLABY IN RHYTHM - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,209,209
MAIDEN VOYAGE                ,MAIDEN VOYAGE - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,210,210
MAMACITA                     ,MAMACITA - Eb Item nrb3,The New Real Book Eb III.pdf,3,0,211,213
MAN FACING NORTH             ,MAN FACING NORTH - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,214,215
METAMORPHOSIS                ,METAMORPHOSIS - Eb Item nrb3,The New Real Book Eb III.pdf,4,0,216,219
MIDNIGHT SILENCE             ,MIDNIGHT SILENCE - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,220,221
MONK ON THE RUN              ,MONK ON THE RUN - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,222,223
MOON AND SAND                ,MOON AND SAND - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,224,225
MOONGLOW                     ,MOONGLOW - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,226,226
MOONLIGHT SERENADE           ,MOONLIGHT SERENADE - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,227,227
MY GIRL                      ,MY GIRL - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,228,229
NEVER SAID (Chan's Song)     ,NEVER SAID (Chan's Song) - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,230,231
NEW BOOTS                    ,NEW BOOTS - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,233,233
NEXT FUTURE                  ,NEXT FUTURE - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,234,235
NO WAY OUT                   ,NO WAY OUT - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,236,237
NOWHERE TO RUN               ,NOWHERE TO RUN - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,238,239
OFF FLOW                     ,OFF FLOW - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,240,241
