Title,Reference,StartPage,EndPage,Composer
After The Love Has Gone ,The World's Greatest Fake Book,1,2,Jay Graydon
Aileron ,The World's Greatest Fake Book,3,3,John Scofield
Aisha ,The World's Greatest Fake Book,4,4,McCoy Tyner
All Across The City ,The World's Greatest Fake Book,5,5,Jim Hall
Arcade ,The World's Greatest Fake Book,6,8,John Abercrombie
And The Melody Still Lingers On ,The World's Greatest Fake Book,9,14,Dizzy Gillespie
The Beatles ,The World's Greatest Fake Book,15,16,John Scofield
Bebop ,The World's Greatest Fake Book,18,18,Dizzy Gillespie
Bebop Lives (Boblicity),The World's Greatest Fake Book,19,20,Miles Davis
Big P ,The World's Greatest Fake Book,21,22,Jimmy Heath
Birdland ,The World's Greatest Fake Book,23,26,Joe Zawinul
The Blessing ,The World's Greatest Fake Book,27,27,Ornette Coleman
Blues For Sarka ,The World's Greatest Fake Book,28,28,George Mraz
Blue Dove ,The World's Greatest Fake Book,29,30,Jim Hall
Brazilian Love Affair ,The World's Greatest Fake Book,31,34,George Duke
A Brite Piece ,The World's Greatest Fake Book,35,36,Dave Liebmann
Bullet Train ,The World's Greatest Fake Book,37,40,Lee Ritenour & Ernie Watts
Burgundy & The Virgin Snow ,The World's Greatest Fake Book,41,44,Jim McNeely
Cannonball ,The World's Greatest Fake Book,45,48,Joe Zawinul
Capuccino ,The World's Greatest Fake Book,49,52,Chick Corea
Caravanessa ,The World's Greatest Fake Book,53,54,Joe Chambers
Carole's Garden ,The World's Greatest Fake Book,55,56,Denny Zeitlin
Cassidae ,The World's Greatest Fake Book,57,58,John Scofield
Central Park ,The World's Greatest Fake Book,59,64,Chick Corea
Champotch ,The World's Greatest Fake Book,65,66,Lennie Lasher
Children Of The Night ,The World's Greatest Fake Book,67,68,Wayne Shorter
City By The Bay ,The World's Greatest Fake Book,69,72,Vince Wallace
Cloudburst ,The World's Greatest Fake Book,73,74,Jon Hendricks
Come Running To Me ,The World's Greatest Fake Book,75,80,Herbie Hancock
Cool Aide ,The World's Greatest Fake Book,81,81,Phil Woods
Cutting Edge ,The World's Greatest Fake Book,82,82,Ulf Wakenius
Daahoud ,The World's Greatest Fake Book,83,83,Clifford Brown
Daisy Mae ,The World's Greatest Fake Book,85,87,George Duke
A Dance For Your Thoughts ,The World's Greatest Fake Book,89,90,Dave Liebman
Dark Lady ,The World's Greatest Fake Book,91,92,Richie Beirach
Dark Light ,The World's Greatest Fake Book,93,93,Mike Nock
