A Blues, BorgoBook, 3,3
A Dime A Dozen, BorgoBook, 4,4
Afluenza, BorgoBook, 5,5
All Four You, BorgoBook, 6,6
Aqaba, BorgoBook, 7,7
Are You?, BorgoBook, 8,8
Azrou, BorgoBook, 9,9
Bass Urges, BorgoBook, 10,10
Bleeding Gums, BorgoBook, 11,12
Blues Implication, BorgoBook, 13,13
Cautiously Optimistic, BorgoBook, 14,15
II. Chrysalism, BorgoBook, 16,16
Drum Talk, BorgoBook, 17,18
Dubrovnik, BorgoBook, 19,20
Dulce, BorgoBook, 21,21
Eidolon, BorgoBook, 22,22
Empty Nest, BorgoBook, 23,23
Eudaimonia, BorgoBook, 24,25
Fractal Worlds, BorgoBook, 26,26
Gnossienne, BorgoBook, 27,28
Gugulethu, BorgoBook, 29,29
High Intensity Vehicle (HIV), BorgoBook, 30,30
In This Life Till Now, BorgoBook, 31,32
Insistence, BorgoBook, 33,34
Jones'n, BorgoBook, 35,36
Kaleidoscope Eyes, BorgoBook, 37,38
Kenopsia, BorgoBook, 39,40
Kuebiko, BorgoBook, 41,42
Liberosis, BorgBook, 43,44
Like Coltrane, BorgoBook, 45,45
Limassol, BorgoBook, 46,47
Lisboa, BorgoBook, 48,48
Marieleta, BorgoBook, 49,49
Massanetta Springs, BorgoBook, 50,50
Miko, BorgoBook, 51,51
Mombasa, BorgoBook, 52,52
1. Mumbai, BorgoBook, 53,53
Nighty Naughty, BorgoBook, 54,54
No Place Like Home, BorgoBook, 55,55
Occhiolism, BorgoBook, 56,57
Oddity, BorgoBook, 58,58
Off Your Marks, BorgoBook, 59,59
Off You Marks (odd), BorgoBook, 60,60
On The 5, BorgoBook, 61,61
One Step Forward-Two Steps Back, BorgoBook, 62,63
Onism, BorgoBook, 64,64
Only In My Dreams, BorgoBook, 65,65
Paro, BorgoBook, 66,66
Peace of Mind, BorgoBook, 67,67
Perambulate, BorgoBook, 68,68
Perhaps, BorgoBook, 69,69
Pilgrimage, BorgoBook, 70,70
Prognostication, BorgoBook, 71,71
Promenade, BorgoBook, 72,72
Pura Vida, BorgoBook, 73,74
Relational, BorgoBook, 75,75
A Relational View, BorgoBook, 76,77
Reminiscence, BorgoBook, 78,79
Rivers of Consciousness, BorgoBook, 80,80
Russion Dragon, BorgoBook, 81,81
Satiesfied, BorgoBook, 82,83
ScoMotion, BorgoBook, 84,85
Segmented (for Bird), BorgoBook, 86,86
Senescence, BorgoBook, 88,89
Solas, BorgoBook, 90,91
Something Borrowed Blues, BorgoBook, 92,92
Spiral Staircase, BorgoBook, 93,93
Still I Rise, BorgoBook, 94,94
Tabula Rasa, BorgoBook, 95,95
A Thunderous Whisper, BorgoBook, 96,96
The Village COVIDiots, BorgoBook, 97,97
Wack-a-Mole, BorgoBook, 98,99
Wayning Influence, BorgoBook, 100,101
Yet Another Year, BorgoBook, 102,103
Zenosyne, BorgoBook, 104,105
