34 skidoo,395,395
Actual proof,11,12
Aerie (the),13,14
Ain't that peculiar,15,18
Aja's theme,20,20
Almost like being in love,22,22
American gothic,23,24
And it goes round and round,25,26
Another star,27,28
Another time,29,30
Appointment in ghana,31,33
Arietas,34,36
Autumn serenade,37,38
B-sting,39,42
Baby come to me,43,44
Backstage sally,45,46
Ballad for doll (a),48,48
Ballad for two musicians,49,52
Bird of beauty,53,54
Black nile,56,56
Blue moon,57,58
Blue spirits,59,62
Blue tuesday,64,64
Body and Soul,65,66
Brothers of the bottom row,68,68
Bu's delight,69,72
Bud powell,73,74
Butterfly,75,76
Can't stop the wind,77,82
Caravan,83,84
Ceora,86,86
Chairs and children,87,88
Chick's tune,89,90
Circular motion,91,93
Cirrus,95,98
Close your eyes,99,100
Creepin,101,102
D minor mint,104,104
Daddy's girl cynthia,105,106
Dancing in the street,107,108
Darius dance,109,110
Day dream,111,112
Dienda,114,114
Divertamento,115,116
Dolphin dance,118,118
Don't ask why,119,119
Don't be that way,120,120
Don't blame me,121,121
Double up (the),122,122
Dreamin,123,124
El gaucho,126,126
Emily,127,127
Everything i have is yours,128,128
Fall with me,129,130
For all we know,132,132
Freedomland,133,134
From day to day,135,136
Gentle rain (the),138,138
Get ready,139,140
Ghost of a chance (a),142,142
Grand central,143,144
Gush,145,148
Hard eights,149,150
Heat wave,151,152
Herzog,153,154
Hold on I'm coming,156,156
How sweet it is,157,158
I can't help it,159,160
I fall in love too easily,162,162
I got it bad,163,164
I hear a rhapsody,166,166
I heard it through the grapevine,167,170
I wanted to say,171,171
I'm getting sentimental over you,172,172
I'm losing you,173,174
I'm through with love,175,176
If you could see me now,177,178
In a mellow tone,180,180
In a sentimental mood,181,182
In case you missed it,183,185
In love with night,186,186
Inner urge,187,188
Invitation,189,190
Isoar,191,192
Isotope,194,194
It always is,195,198
Jean de fleur,199,200
Jitterbug waltz (the),201,201
John's waltz,202,202
Just friends,203,203
Just squeeze me,204,204
Just you just me,206,206
Kahlil the prophet,207,208
Knock on wood,209,210
Lamp is low (the),212,212
Last nite,213,216
Last season,217,220
Laura,222,222
Let's stay together,223,224
Litha,225,226
Lonely woman,227,228
Look at the birdie,229,230
Love letter (to my father),232,232
Love's haunts,233,236
Lullaby in rhythm,238,238
Maiden voyage,239,240
Mamacita,241,244
Man facing north,245,248
Metamorphosis,249,251
Midnight silence,253,254
Monk on the run,255,258
Moon and sand,259,260
Moonglow,262,262
Moonlight serenade,264,264
My girl,265,266
Never said (chan's song),267,268
New boots,269,270
Next future,271,272
No way out,273,276
Nowhere to run,277,278
Off flow,279,282
On green dolphin street,283,284
One bird one stone,285,288
One finger snap,290,290
Ooo baby baby,291,292
Opus de funk,293,294
Out a day,295,295
Over the rainbow,297,298
Part-time lover,299,302
Pendulum,303,303
Prelude to a kiss,304,304
Promise,305,306
Punjab,307,308
Pyramid,309,310
Question mark,312,312
Rainland,313,318
Reach out i'll be there,319,320
Real life,321,322
Red's blues,324,324
Relentless,325,326
Respect,327,328
Revelation,329,332
Riddles,333,334
Ritual,335,336
Ruby,337,338
Sail away,339,340
Second time around (the),342,342
Serenata,343,344
Shadow of your smile (the),346,346
Short story,347,348
Since we met,349,350
Smile please,352,352
So near so far,353,354
Solitude,356,356
Speak like a child,357,358
Spring is here,359,359
Stairway to the stars,360,360
Star eyes,361,362
Stars fell on alabama,364,364
Steepian faith,365,366
Step lightly,367,368
Stompin' at the savoy,369,370
Sub aqua,371,374
Sugar,376,376
Super blue,377,378
Sweet loraine,379,380
Sweet love,381,382
Taking a chance on love,383,383
That girl,385,388
That old feeling (blakey version),391,392
That old feeling (standard),390,390
There's a lull in my life,393,394
This is new,396,396
Tiny capers,397,398
Tokyo dream,399,402
Too high,403,406
Toy tune,408,408
Tracks of my tears (the),409,410
Tuzz's shadow,411,412
Used to be a chacha,413,414
Walk of the negress,416,416
Warm valley,417,417
Wee,418,418
What are you doing the rest of your life,419,420
What's going on?,431,422
What's love got to do with it,423,424
When i look in your eyes,425,426
When lights are low,427,428
Where are you,429,429
You are so beautiful,430,430
You must believe in spring,431,432
You stepped out of a dream,433,433
You've changed,434,434
