Confirmation, CPOMNIBC,1,3
Mosse The Mooche, CPOMNIBC,4,5
Ornithology, CPOMNIBC,6,7
Yardbird Suite, CPOMNIBC,8,9
Anthropology, CPOMNIBC,10,13
Dewey Square, CPOMNIBC,14,15
Scrapple From The Apple, CPOMNIBC,16,17
Blues For Alice, CPOMNIBC,18,19
K.C. Blues, CPOMNIBC,20,21
Celerity, CPOMNIBC,22,23
Au Privave (No. 1), CPOMNIBC,24,25
Au Privave (No. 2), CPOMNIBC,26,27
Chi Chi, CPOMNIBC,28,30
Cosmic Rays, CPOMNIBC,30,31
Laird Baird, CPOMNIBC,32,33
She Rote (No. 1), CPOMNIBC,34,35
She Rote (No. 2), CPOMNIBC,36,37
Mohawk (No. 1), CPOMNIBC,38,39
Mohawk (No. 2), CPOMNIBC,40,41
An Oscar For Freadwell, CPOMNIBC,42,44
Constellation, CPOMNIBC,45,47
Donna Lee, CPOMNIBC,48,50
Kim (No. 1), CPOMNIBC,51,53
Kim (No. 2), CPOMNIBC,54,57
Cheryl, CPOMNIBC,58,59
Thriving From A Riff, CPOMNIBC,60,61
Ko Ko, CPOMNIBC,62,65
Red Cross, CPOMNIBC,66,67
Marmaduke, CPOMNIBC,68,70
Barbados, CPOMNIBC,70,71
Perhaps, CPOMNIBC,72,73
Now's The Time (No. 1), CPOMNIBC,74,75
Now's The Time (No. 2), CPOMNIBC,76,77
Buzzy, CPOMNIBC,78,79
Billie's Bounce, CPOMNIBC,80,81
Chasing The Bird, CPOMNIBC,82,83
Blue Bird, CPOMNIBC,84,85
Ah-Leu-Cha, CPOMNIBC,86,88
Klaun Stance, CPOMNIBC,89,91
Card Board, CPOMNIBC,92,93
Bird Gets The Worm, CPOMNIBC,94,96
Segment, CPOMNIBC,97,99
Visa, CPOMNIBC,100,101
Passport, CPOMNIBC,102,103
Another Hairdo, CPOMNIBC,104,105
Back Home Blues, CPOMNIBC,106,107
Bloomdido, CPOMNIBC,108,109
The Bird, CPOMNIBC,110,111
Steeplechase, CPOMNIBC,112,113
Diverse, CPOMNIBC,114,116
Merry-Go-Round, CPOMNIBC,117,119
My Little Suede Shoes, CPOMNIBC,120,121
Relaxing With Lee, CPOMNIBC,122,123
Blues (Fast), CPOMNIBC,124,127
Shawnuff, CPOMNIBC,128,130
Leap Frog, CPOMNIBC,130,133
Parker's Mood, CPOMNIBC,134,135
Warming Up Riff, CPOMNIBC,136,139
Si Si, CPOMNIBC,140,141
Ballade, CPOMNIBC,142,142
