Title,File,Start Page,End Page,Key,Composer,
African Flower,realbk1h.pdf,10,10,Bb,Duke Ellington,African Flower (Bb)
Afro Blue,HalLeonardRealBook-Bb-v1.pdf,11,11,Bb,Mongo Santamaria,Afro Blue (Bb)
Afternoon In Paris,HalLeonardRealBook-Bb-v1.pdf,12,12,Bb,John Lewis,Afternoon In Paris (Bb)
Airegin,HalLeonardRealBook-Bb-v1.pdf,13,13,Bb,Sonny Rollins,Airegin (Bb)
Agua De Beber ,HalLeonardRealBook-Bb-v1.pdf,14,15,Bb,Antonio Carlos Jobim/Norman Gimbel/Vinicius De Moraes,Agua De Beber  (Bb)
Alfie,HalLeonardRealBook-Bb-v1.pdf,16,16,Bb,Burt Bacharach/Hal David,Alfie (Bb)
Alice In Wonderland,HalLeonardRealBook-Bb-v1.pdf,17,17,Bb,Sammy Fain/Bob Hilliard,Alice In Wonderland (Bb)
All Blues,HalLeonardRealBook-Bb-v1.pdf,18,18,Bb,Miles Davis,All Blues (Bb)
All By Myself,HalLeonardRealBook-Bb-v1.pdf,19,19,Bb,Irving Berlin,All By Myself (Bb)
All Of Me,HalLeonardRealBook-Bb-v1.pdf,20,20,Bb,Seymour Simons/Gerald Marks,All Of Me (Bb)
All Of You,HalLeonardRealBook-Bb-v1.pdf,21,21,Bb,Cole Porter,All Of You (Bb)
All The Things You Are,HalLeonardRealBook-Bb-v1.pdf,22,22,Bb,Jerome Kern/Oscar Hammerstein,All The Things You Are (Bb)
Always,HalLeonardRealBook-Bb-v1.pdf,23,23,Bb,Irving Berlin,Always (Bb)
"Alright, Okay, You Win",HalLeonardRealBook-Bb-v1.pdf,24,25,Bb,Mayme Watts/Sid Wyche,"Alright, Okay, You Win (Bb)"
Ana Maria,HalLeonardRealBook-Bb-v1.pdf,26,27,Bb,Wayne Shorter,Ana Maria (Bb)
Angel Eyes,HalLeonardRealBook-Bb-v1.pdf,28,28,Bb,Matt Dennis/Earl Brent,Angel Eyes (Bb)
Anthropology,HalLeonardRealBook-Bb-v1.pdf,29,29,Bb,Charlie Parker/Dizzy Gillespie,Anthropology (Bb)
Apple Honey,HalLeonardRealBook-Bb-v1.pdf,30,31,Bb,Woody Herman,Apple Honey (Bb)
April In Paris,HalLeonardRealBook-Bb-v1.pdf,32,32,Bb,Vernon Duke/E. Y. Hrburg,April In Paris (Bb)
April Joy,HalLeonardRealBook-Bb-v1.pdf,33,33,Bb,Pat Metheny,April Joy (Bb)
Arise Her Eyes,HalLeonardRealBook-Bb-v1.pdf,34,35,Bb,Steve Swallow,Arise Her Eyes (Bb)
Armageddon,HalLeonardRealBook-Bb-v1.pdf,36,36,Bb,Wayne Shorter,Armageddon (Bb)
Au Privave,HalLeonardRealBook-Bb-v1.pdf,37,37,Bb,Charlie Parker,Au Privave (Bb)
Autumn In New York,HalLeonardRealBook-Bb-v1.pdf,38,38,Bb,Vernon Duke,Autumn In New York (Bb)
Autumn Leaves,HalLeonardRealBook-Bb-v1.pdf,39,39,Bb,Joseph Kosma/Johnny Mercer/Jacques Prevert,Autumn Leaves (Bb)
Beautiful Love,HalLeonardRealBook-Bb-v1.pdf,40,40,Bb,Victor Young/Wayne King/Egbert Van Alstyne/Haven Gillespie,Beautiful Love (Bb)
Beauty And The Blast,HalLeonardRealBook-Bb-v1.pdf,41,41,Bb,Wayne Shorter,Beauty And The Blast (Bb)
Bessie's Blues,HalLeonardRealBook-Bb-v1.pdf,42,42,Bb,John Coltrane,Bessie's Blues (Bb)
Bewitched,HalLeonardRealBook-Bb-v1.pdf,43,43,Bb,Richard Rodgers/Lorenz Hart,Bewitched (Bb)
Big Nick,HalLeonardRealBook-Bb-v1.pdf,44,44,Bb,John Coltrane,Big Nick (Bb)
Black Coffee,HalLeonardRealBook-Bb-v1.pdf,45,45,Bb,Paul Francis Webster/Sonny Burke,Black Coffee (Bb)
Black Diamond,HalLeonardRealBook-Bb-v1.pdf,46,46,Bb,Milton Sealey,Black Diamond (Bb)
Black Narcissus,HalLeonardRealBook-Bb-v1.pdf,47,47,Bb,Joe Henderson,Black Narcissus (Bb)
Black Nile,HalLeonardRealBook-Bb-v1.pdf,48,48,Bb,Wayne Shorter,Black Nile (Bb)
Black Orpheus,HalLeonardRealBook-Bb-v1.pdf,49,49,Bb,Luiz Bonfa,Black Orpheus (Bb)
Blue Bossa,HalLeonardRealBook-Bb-v1.pdf,50,50,Bb,Kenny Durham,Blue Bossa (Bb)
Blue In Green,HalLeonardRealBook-Bb-v1.pdf,51,51,Bb,Miles Davis,Blue In Green (Bb)
Blue Monk,HalLeonardRealBook-Bb-v1.pdf,52,52,Bb,Thelonious Monk,Blue Monk (Bb)
Blue Room,HalLeonardRealBook-Bb-v1.pdf,53,53,Bb,Richard Rodgers/Lorenz Hart,Blue Room (Bb)
Blue Train (Blue Trane),HalLeonardRealBook-Bb-v1.pdf,54,54,Bb,John Coltrane,Blue Train (Blue Trane) (Bb)
Blues For Alice,HalLeonardRealBook-Bb-v1.pdf,55,55,Bb,Charlie Parker,Blues For Alice (Bb)
Bluesette,HalLeonardRealBook-Bb-v1.pdf,56,56,Bb,Jean Thielemans/Norman Gimbel,Bluesette (Bb)
Body And Soul,HalLeonardRealBook-Bb-v1.pdf,57,57,Bb,John Green/Eduoard Heyman/Robert Sear/Frank Eyton,Body And Soul (Bb)
Boplicity,HalLeonardRealBook-Bb-v1.pdf,58,58,Bb,Miles David/Gil Evans,Boplicity (Bb)
Bright Size Life,HalLeonardRealBook-Bb-v1.pdf,59,59,Bb,Pat Metheny,Bright Size Life (Bb)
Broad Way Blues,HalLeonardRealBook-Bb-v1.pdf,60,60,Bb,Ornette Coleman,Broad Way Blues (Bb)
Broadway,HalLeonardRealBook-Bb-v1.pdf,61,61,Bb,Bill Byrd/Teddy McRae/Henri Wood,Broadway (Bb)
But Beautiful,HalLeonardRealBook-Bb-v1.pdf,62,62,Bb,Jimmy Van Heusen/Johnny Burke,But Beautiful (Bb)
Butterfly,HalLeonardRealBook-Bb-v1.pdf,63,63,Bb,Herbie Hancock/Bennie Maupin,Butterfly (Bb)
Byrd Like,HalLeonardRealBook-Bb-v1.pdf,64,64,Bb,Freddie Hubbard,Byrd Like (Bb)
C'est Si Bon (It's So Good),HalLeonardRealBook-Bb-v1.pdf,65,65,Bb,Henri Betti/Jerry Serlen/Andre Hornez,C'est Si Bon (It's So Good) (Bb)
Call Me,HalLeonardRealBook-Bb-v1.pdf,66,66,Bb,Tony Hatch,Call Me (Bb)
Call Me Irresponsible,HalLeonardRealBook-Bb-v1.pdf,67,67,Bb,James Van Heusen/Sammy Cahn,Call Me Irresponsible (Bb)
Can't Help Lovin' Dat Man,HalLeonardRealBook-Bb-v1.pdf,68,68,Bb,Jerome Kern/Oscar Hammerstein,Can't Help Lovin' Dat Man (Bb)
Central Park West,HalLeonardRealBook-Bb-v1.pdf,69,69,Bb,John Coltrane,Central Park West (Bb)
Captain Marvel,HalLeonardRealBook-Bb-v1.pdf,70,71,Bb,Chick Corea,Captain Marvel (Bb)
Ceora,HalLeonardRealBook-Bb-v1.pdf,72,72,Bb,Lee Morgan,Ceora (Bb)
Chelsea Bells,HalLeonardRealBook-Bb-v1.pdf,73,73,Bb,Steve Swallow,Chelsea Bells (Bb)
Chega De Saudade (No More Blues),HalLeonardRealBook-Bb-v1.pdf,74,75,Bb,Antonio Carlos Jobim/Vinicius De Moraes,Chega De Saudade (No More Blues) (Bb)
