Song,Title,Book,Length,Start,End
Ablution,Ablution - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,10,10
Adam's Apple,Adam's Apple - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,11,11
Affirmation,Affirmation - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,12,12
Airmail Special,Airmail Special - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,13,13
Alfie's Theme,Alfie's Theme - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,14,14
All Alone,All Alone - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,15,15
My Heart Sings,My Heart Sings - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,16,16
Alto Itis,Alto Itis - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,17,17
Another Star,Another Star - Bb Item rb2,Real Book 2 v6 (Hal Leonard),2,18,19
April Skies,April Skies - Bb Item rb2,Real Book 2 v6 (Hal Leonard),2,20,21
Are You Havin' Any Fun,Are You Havin' Any Fun - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,22,22
Ask Me Now,Ask Me Now - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,23,23
At The Mambo Inn,At The Mambo Inn - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,24,24
Avalon,Avalon - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,25,25
Azure,Azure - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,26,26
Ba-Lue Bolivar Ba-Lues-Are,Ba-Lue Bolivar Ba-Lues-Are - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,27,27
Baby It's Cold Outside,Baby It's Cold Outside - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,28,28
Bags And Trane,Bags And Trane - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,29,29
Bags' Groove,Bags' Groove - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,30,30
Bali Hai'i,Bali Hai'i - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,31,31
Ballad (A),Ballad (A) - Bb Item rb2,Real Book 2 v6 (Hal Leonard),2,32,33
Baltimore Oriole,Baltimore Oriole - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,34,34
Barbados,Barbados - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,35,35
Barbara,Barbara - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,36,36
Basin Street Blues,Basin Street Blues - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,37,37
Be Bop,Be Bop - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,38,38
Better Leave It Alone,Better Leave It Alone - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,39,39
Beyond The Sea,Beyond The Sea - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,40,40
Big P,Big P - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,41,41
Bills' Hit Tune,Bills' Hit Tune - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,42,42
Billie's Blues,Billie's Blues - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,43,43
Billie's Bounce,Billie's Bounce - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,44,44
Bird Feathers,Bird Feathers - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,45,45
Birdland,Birdland - Bb Item rb2,Real Book 2 v6 (Hal Leonard),2,46,47
Birk's Works,Birk's Works - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,48,48
Birth Of The Blues,Birth Of The Blues - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,49,49
Black And Tan Fantasy,Black And Tan Fantasy - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,50,50
Blame It On My Youth,Blame It On My Youth - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,51,51
Bloomdido,Bloomdido - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,52,52
Blow Mr Dexter,Blow Mr Dexter - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,53,53
Blue 'N Boogie',Blue 'N Boogie' - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,54,54
Blue Serge,Blue Serge - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,55,55
Blue Seven,Blue Seven - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,56,56
Blue Silver,Blue Silver - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,57,57
Blue Skies,Blue Skies - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,58,58
Blues By Five,Blues By Five - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,59,59
Blues For Wood,Blues For Wood - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,60,60
Blues In The Closet,Blues In The Closet - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,61,61
Blue March,Blue March - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,62,62
Bohemia After Dark,Bohemia After Dark - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,63,63
Booker's Waltz,Booker's Waltz - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,64,64
Brian's Song,Brian's Song - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,65,65
Bouncing With Bud,Bouncing With Bud - Bb Item rb2,Real Book 2 v6 (Hal Leonard),2,66,67
Bright Boy,Bright Boy - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,68,68
Brilliant Corners,Brilliant Corners - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,69,69
Budo,Budo - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,70,70
Bunko,Bunko - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,71,71
Buster Rides Again,Buster Rides Again - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,72,72
Bye Bye Blackbird,Bye Bye Blackbird - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,73,73
C Jam Blues,C Jam Blues - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,74,74
Candy,Candy - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,75,75
Cantelope Island,Cantelope Island - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,76,76
Caravan,Caravan - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,77,77
Cast Your Fat To The Wind,Cast Your Fat To The Wind - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,78,78
Chameleon,Chameleon - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,79,79
Champ (The),Champ (The) - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,80,80
Chasin' The Train,Chasin' The Train - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,81,81
Cheese Cake,Cheese Cake - Bb Item rb2,Real Book 2 v6 (Hal Leonard),2,82,83
Circle,Circle - Bb Item rb2,Real Book 2 v6 (Hal Leonard),2,84,85
Close Your Eyes,Close Your Eyes - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,86,86
Cold Duck Time,Cold Duck Time - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,87,87
Come Rain Or Come Shine,Come Rain Or Come Shine - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,88,88
Comin' Home Baby,Comin' Home Baby - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,89,89
Cooker (The),Cooker (The) - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,90,90
Cool Blues,Cool Blues - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,91,91
Core (The),Core (The) - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,92,92
Cousin Mary,Cousin Mary - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,93,93
Crazeology,Crazeology - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,94,94
Crepuscule,Crepuscule - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,95,95
Criss Cross,Criss Cross - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,96,96
Cross Current,Cross Current - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,97,97
Dance Of The Infidels,Dance Of The Infidels - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,98,98
Dat Dere,Dat Dere - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,99,99
Day By Day,Day By Day - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,100,100
Dewey Square,Dewey Square - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,101,101
Dexter Rides Again,Dexter Rides Again - Bb Item rb2,Real Book 2 v6 (Hal Leonard),1,102,102
