Song,Title,Book,Length,Start,End
Ablution,Ablution - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,10,10
Adam's Apple,Adam's Apple - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,11,11
Affirmation,Affirmation - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,12,12
Airmail Special,Airmail Special - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,13,13
Alfie's Theme,Alfie's Theme - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,14,14
All Alone,All Alone - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,15,15
My Heart Sings,My Heart Sings - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,16,16
Alto Itis,Alto Itis - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,17,17
Another Star,Another Star - Eb Item rb2,Real Book 2 v6 (Hal Leonard),2,18,19
April Skies,April Skies - Eb Item rb2,Real Book 2 v6 (Hal Leonard),2,20,21
Are You Havin' Any Fun,Are You Havin' Any Fun - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,22,22
Ask Me Now,Ask Me Now - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,23,23
At The Mambo Inn,At The Mambo Inn - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,24,24
Avalon,Avalon - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,25,25
Azure,Azure - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,26,26
Ba-Lue Bolivar Ba-Lues-Are,Ba-Lue Bolivar Ba-Lues-Are - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,27,27
Baby It's Cold Outside,Baby It's Cold Outside - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,28,28
Bags And Trane,Bags And Trane - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,29,29
Bags' Groove,Bags' Groove - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,30,30
Bali Hai'i,Bali Hai'i - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,31,31
Ballad (A),Ballad (A) - Eb Item rb2,Real Book 2 v6 (Hal Leonard),2,32,33
Baltimore Oriole,Baltimore Oriole - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,34,34
Barbados,Barbados - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,35,35
Barbara,Barbara - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,36,36
Basin Street Blues,Basin Street Blues - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,37,37
Be Bop,Be Bop - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,38,38
Better Leave It Alone,Better Leave It Alone - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,39,39
Beyond The Sea,Beyond The Sea - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,40,40
Big P,Big P - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,41,41
Bills' Hit Tune,Bills' Hit Tune - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,42,42
Billie's Blues,Billie's Blues - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,43,43
Billie's Bounce,Billie's Bounce - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,44,44
Bird Feathers,Bird Feathers - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,45,45
Birdland,Birdland - Eb Item rb2,Real Book 2 v6 (Hal Leonard),2,46,47
Birk's Works,Birk's Works - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,48,48
Birth Of The Blues,Birth Of The Blues - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,49,49
Black And Tan Fantasy,Black And Tan Fantasy - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,50,50
Blame It On My Youth,Blame It On My Youth - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,51,51
Bloomdido,Bloomdido - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,52,52
Blow Mr Dexter,Blow Mr Dexter - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,53,53
Blue 'N Boogie',Blue 'N Boogie' - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,54,54
Blue Serge,Blue Serge - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,55,55
Blue Seven,Blue Seven - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,56,56
Blue Silver,Blue Silver - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,57,57
Blue Skies,Blue Skies - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,58,58
Blues By Five,Blues By Five - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,59,59
Blues For Wood,Blues For Wood - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,60,60
Blues In The Closet,Blues In The Closet - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,61,61
Blue March,Blue March - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,62,62
Bohemia After Dark,Bohemia After Dark - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,63,63
Booker's Waltz,Booker's Waltz - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,64,64
Brian's Song,Brian's Song - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,65,65
Bouncing With Bud,Bouncing With Bud - Eb Item rb2,Real Book 2 v6 (Hal Leonard),2,66,67
Bright Boy,Bright Boy - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,68,68
Brilliant Corners,Brilliant Corners - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,69,69
Budo,Budo - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,70,70
Bunko,Bunko - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,71,71
Buster Rides Again,Buster Rides Again - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,72,72
Bye Bye Blackbird,Bye Bye Blackbird - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,73,73
C Jam Blues,C Jam Blues - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,74,74
Candy,Candy - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,75,75
Cantelope Island,Cantelope Island - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,76,76
Caravan,Caravan - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,77,77
Cast Your Fat To The Wind,Cast Your Fat To The Wind - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,78,78
Chameleon,Chameleon - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,79,79
Champ (The),Champ (The) - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,80,80
Chasin' The Train,Chasin' The Train - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,81,81
Cheese Cake,Cheese Cake - Eb Item rb2,Real Book 2 v6 (Hal Leonard),2,82,83
Circle,Circle - Eb Item rb2,Real Book 2 v6 (Hal Leonard),2,84,85
Close Your Eyes,Close Your Eyes - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,86,86
Cold Duck Time,Cold Duck Time - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,87,87
Come Rain Or Come Shine,Come Rain Or Come Shine - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,88,88
Comin' Home Baby,Comin' Home Baby - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,89,89
Cooker (The),Cooker (The) - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,90,90
Cool Blues,Cool Blues - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,91,91
Core (The),Core (The) - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,92,92
Cousin Mary,Cousin Mary - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,93,93
Crazeology,Crazeology - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,94,94
Crepuscule,Crepuscule - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,95,95
Criss Cross,Criss Cross - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,96,96
Cross Current,Cross Current - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,97,97
Dance Of The Infidels,Dance Of The Infidels - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,98,98
Dat Dere,Dat Dere - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,99,99
Day By Day,Day By Day - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,100,100
Dewey Square,Dewey Square - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,101,101
Dexter Rides Again,Dexter Rides Again - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,102,102
Didn't We,Didn't We - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,103,103
Dinah,Dinah - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,104,104
Dindi,Dindi - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,105,105
Do I Love You Because You're Beautiful?,Do I Love You Because You're Beautiful? - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,106,106
Do Nothing Till You Hear From Me,Do Nothing Till You Hear From Me - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,107,107
Do You Know What It Means To Miss New Orleans,Do You Know What It Means To Miss New Orleans - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,108,108
Don't Explain,Don't Explain - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,109,109
Down For Double,Down For Double - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,110,110
Doxy,Doxy - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,111,111
Drive (The),Drive (The) - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,112,112
Duff,Duff - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,113,113
Early Autumn,Early Autumn - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,114,114
Eclypso,Eclypso - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,115,115
Einbahnstrasse,Einbahnstrasse - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,116,116
Elora,Elora - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,117,117
Emancipation Blues,Emancipation Blues - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,118,118
Epilogue,Epilogue - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,119,119
Estate,Estate - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,120,120
Everything I Have Is Yours,Everything I Have Is Yours - Eb Item rb2,Real Book 2 v6 (Hal Leonard),1,121,121
