Across The Alley From The Alamo,17,17
Adios,18,18
After The Rain,19,20
Águas De Março (Waters Of March),21,23
All Night Long,24,24
All Too Soon,25,25
Allen's Alley,26,26
Always True To You In My Fashion,27,27
And All That Jazz,28,29
Angela,30,31
Apple Core,32,32
Are You Real,33,33
As Long As He Needs Me,34,34
Aunt Hagar's Blues,35,35
As We Speak,36,37
Ashes To Ashes,38,39
Azure-Te (Paris Blues),40,40
Baby Elephant Walk,41,41
Baby Just Come Home To Me,42,43
Back In Your Own Backyard,44,44
Ballin' The Jack,45,45
Bag's New Groove,46,47
Bandstand Boogie,48,48
The Best Is Yet To Come,49,49
Bill,50,50
Bim-Bom,51,51
Bird Song,52,52
Birds Of A Feather,53,53
Black Byrd,54,54
Blackbird,55,55
Blue Friday,56,56
Blue Soul,57,57
Blues For Junior,58,58
Blues In Frankie's Flat,59,59
Blues In Time,60,60
Blues The Most,61,61
Bopzilla,62,62
Born To Be Blue,63,63
Born To Be Bad,65,65
Boy Meets Horn,66,67
Break Out The Blues,68,68
Bremond's Blues,69,69
Brown Hornet,70,71
Buster's Last Stand,72,72
But She's My Buddy's Chick,73,73
Button Up Your Overcoat,74,74
Can't Buy Me Love,75,75
Cake Walking Babies From Home,76,77
The Cape Verdean Blues,78,79
Change Of Season,80,80
The Chicken,81,81
Charade,82,83
Chasing The Bird,84,85
Children Of The Night,86,87
The Christmas Song (Chestnuts Roasting On An Open Fire),88,89
Christmas Time Is Here,90,90
Christopher Columbus,91,91
Clockwise,92,92
Chromozone,93,94
Close As Pages In A Book,95,95
Cocktails For Two,96,96
Come Candellia,97,97
Comes Love,98,98
Come Dance With Me,99,100
Compared To What,101,101
A Cool Shade Of Blue,102,102
Curves Ahead,103,104
Daddy,105,105
Dahomey Dance,106,106
Dance Only With Me,107,107
Days Of Wine And Roses,108,108
Deacon Blues,109,110
Dear Heart,111,111
Deep Purple,112,112
Devil May Care,113,114
Dexter Digs In,115,115
Dextivity,116,116
Dinner For One Please James,117,117
The Disguise,118,118
Djangology,119,119
Do I Love You,120,120
Doctor Jazz,121,121
Don't Be That Way,122,122
Don't You Know I Care (Or Don't You Care To Know),123,123
Doodlin',124,124
Down,125,125
Down Under,126,126
Down With Love,127,127
Dragonfly,128,128
Duke's Place,129,129
The Earl,130,130
Effendi,131,132
El Hombre,133,133
Elevation,134,134
Everybody Loves My Baby (But My Baby Don't Love Nobody But Me),135,135
Every Day I Have The Blues,136,136
Ev'rything I've Got,137,137
Festive Minor,138,138
Federico,139,140
A Felicidade,141,142
Flamingo,143,143
A Foggy Day (In London Town),144,144
Flip Flop And Fly,145,146
For You For Me For Evermore,147,147
Friends,148,148
Fuchsia Swing Song,149,149
Ginger Bread Boy,150,150
Gettin' Over The Blues,151,152
Ginza Samba,153,153
Goin' To Minton's,154,154
The Girl With His Smile And My Eyes,155,156
Give Me The Night,157,158
