Across The Alley From The Alamo,1,2
Adios,3,4
After The Rain,5,7
Águas De Março (Waters Of March),8,10
All Night Long,11,12
All Too Soon,13,14
Allen's Alley,15,16
Always True To You In My Fashion,17,18
And All That Jazz,19,21
Angela,22,24
Apple Core,25,26
Are You Real,27,28
As Long As He Needs Me,29,30
As We Speak,33,35
Ashes To Ashes,36,38
Aunt Hagar's Blues,31,32
Azure-Te (Paris Blues),39,40
Baby Elephant Walk,41,42
Baby Just Come Home To Me,43,45
Back In Your Own Backyard,46,47
Bag's New Groove,50,52
Ballin' The Jack,48,49
Bandstand Boogie,53,54
The Best Is Yet To Come,55,56
Bill,57,58
Bim-Bom,59,60
Bird Song,61,62
Birds Of A Feather,63,64
Black Byrd,64,66
Blackbird,67,68
Blue Friday,69,70
Blue Soul,71,72
Blues For Junior,73,74
Blues In Frankie's Flat,75,76
Blues In Time,77,78
Blues The Most,79,80
Bopzilla,881,82
Born To Be Bad,85,87
Born To Be Blue,83,84
Boy Meets Horn,88,90
Break Out The Blues,91,92
Bremond's Blues,93,94
Brown Hornet,95,97
Buster's Last Stand,98,99
But She's My Buddy's Chick,100,101
Button Up Your Overcoat,102,103
Cake Walking Babies From Home,106,108
Can't Buy Me Love,104,105
The Cape Verdean Blues,109,111
Change Of Season,112,113
Charade,116,118
Chasing The Bird,119,121
The Chicken,114,115
Children Of The Night,122,124
The Christmas Song (Chestnuts Roasting On An Open Fire),125,126
Christmas Time Is Here,127,128
Christopher Columbus,129,130
Chromozone,133,135
Clockwise,131,132
Close As Pages In A Book,136,137
Cocktails For Two,138,139
Come Candellia,140,141
Come Dance With Me,144,146
Comes Love,142,143
Compared To What,147,148
A Cool Shade Of Blue,149,150
Curves Ahead,151,153
Daddy,154,155
Dahomey Dance,156,157
Dance Only With Me,158,159
Days Of Wine And Roses,160,161
Deacon Blues,162,164
Dear Heart,165,166
Deep Purple,167,168
Devil May Care,169,171
Dexter Digs In,172,173
Dextivity,174,175
Dinner For One Please James,176,177
The Disguise,178,179
Djangology,180,181
Do I Love You,182,183
Doctor Jazz,184,185
Don't Be That Way,186,187
Don't You Know I Care (Or Don't You Care To Know),188,189
Doodlin',190,191
Down,192,193
Down Under,194,195
Down With Love,196,197
Dragonfly,198,199
Duke's Place,200,201
The Earl,202,203
Effendi,204,206
El Hombre,207,208
Elevation,209,210
Every Day I Have The Blues,213,214
Everybody Loves My Baby (But My Baby Don't Love Nobody But Me),211,212
Ev'rything I've Got,215,216
Federico,219,221
A Felicidade,222,224
Festive Minor,217,218
Flamingo,225,226
Flip Flop And Fly,229,231
A Foggy Day (In London Town),227,228
For You For Me For Evermore,232,233
Friends,234,235
Fuchsia Swing Song,236,237
Gettin' Over The Blues,240,242
Ginger Bread Boy,238,239
Ginza Samba,243,244
The Girl With His Smile And My Eyes,247,249
Give Me The Night,250,252
Goin' To Minton's,245,246
Goin' Out Of My Head,253,254
Golden Earrings,255,256
The Good Life,257,258
Goodbye,259,260
Green Haze,261,262
Guess Who I Saw Today,263,264
The Gypsy,265,266
Gypsy Jingle-Jangle,267,268
Hallelujah I Love Her So,269,270
Happy Go Lucky Local,271,272
Happy With The Blues,273,274
Hear Ye,275,276
Heartaches,277,278
Helen's Song,279,280
Hideaway,281,283
Hindustan,284,285
Hit The Road To Dreamland,286,287
Hoe-Down,288,290
Home,291,293
A House Is Not A Home,294,295
How Little We Know,298,300
Humpty Dumpty,296,297
A Hundred Years From Today,301,302
I Can Dream Can't I?,303,304
I Could Eat Your Words,305,307
I Didn't Know About You,308,309
I Got A Woman,310,311
I Got Rhythm,312,313
I Got You (I Feel Good),314,315
I Guess I'll Have To Change My Plan,316,317
I Hadn't Anyone Till You,318,319
I Love Lucy,320,321
I Love My Baby (My Baby Loves Me),322,323
I Remember Duke,324,325
I Saw Stars,326,327
I Say A Little Prayer,328,330
I See Your Face Before Me,331,332
I Shot The Sheriff,333,334
I Told Ya I Love Ya Now Get Out,335,337
I Walk With Music,338,339
I Wouldn't Trade You,340,341
I'd Rather Be Blue Over You,342,343
I'm A Dreamer Aren't We All,344,345
I'm Gonna Go Fishin',346,347
I've Got My Eyes On You,348,349
I've Got Your Number,350,351
If Ever I Would Leave You,354,356
If I Ruled The World,357,359
If I Were Blue,360,362
If You Could See Me Now,352,353
If You Go,363,364
In A Silent Way,365,366
