A CAROLING WE GO,RXMAS,6,6
ALL I WANT FOR CHRISTMAS IS YOU,RXMAS,8,9
ALMOST DAY,RXMAS,7,7
ANGELS FROM THE REALMS OF GLORY ,RXMAS,10,10
ANGELS WE HAVE HEARD ON HIGH ,RXMAS,11,11
AS LONG AS THERE'S CHRISTMAS ,RXMAS,12,13
AULD LANG SYNE,RXMAS,14,14
AWAY IN A MANGER (SPILLMAN) ,RXMAS,15,15
AWAY IN A MANGER (MURRAY) ,RXMAS,16,16
BABY IT'S COLD OUTSIDE,RXMAS,18,19
BECAUSE IT'S CHRISTMAS ,RXMAS,20,20
BLUE CHRISTMAS,RXMAS,17,17
THE BOAR'S HEAD CAROL ,RXMAS,22,22
BRAZILIAN SLEIGH BELLS,RXMAS,24,25
BRING A TORCH JEANNETTE ISABELLA ,RXMAS,23,23
BURGUNDIAN CAROL,RXMAS,26,26
CAROL OF THE BELLS,RXMAS,27,27
CAROLING CAROLING ,RXMAS,28,28
THE CHIPMUNK SONG ,RXMAS,29,29
CHRIST WAS BORN ON CHRISTMAS DAY,RXMAS,30,30
C-H-R-I-S-T-M-A-S,RXMAS,32,33
CHRISTMAS IS ,RXMAS,31,31
CHRISTMAS IS A-COMIN' (MAY GOD BLESS YOU),RXMAS,34,35
CHRISTMAS IS THE TIME TO SAY I LOVE YOU,RXMAS,36,37
THE CHRISTMAS SONG (CHESTNUTS ROASTING ON AN OPEN FIRE),RXMAS,38,38
CHRISTMAS TIME IS HERE,RXMAS,39,39
THE CHRISTMAS WALTZ ,RXMAS,40,40
COLD DECEMBER NIGHTS,RXMAS,42,43
COVENTRY CAROL,RXMAS,41,41
DANCE OF THE SUGAR PLUM FAIRY ,RXMAS,44,44
DECK THE HALL,RXMAS,45,45
DING DONG! MERRILY ON HIGH!,RXMAS,46,46
DO THEY KNOW IT'S CHRISTMAS?,RXMAS,48,49
DO YOU HEAR WHAT I HEAR ,RXMAS,47,47
FELIZ NAVIDAD ,RXMAS,50,50
THE FIRST NOE,RXMAS,51,51
THE FRIENDLY BEASTS ,RXMAS,52,52
FROM HEAVEN ABOVE TO EARTH I COME ,RXMAS,53,53
FROSTY THE SNOW MAN,RXMAS,54,55
FUM FUM FUM,RXMAS,56,56
GESÙ BAMBINO (THE INFANT JESUS),RXMAS,58,59
THE GIFT ,RXMAS,60,61
GO TELL IT ON THE MOUNTAIN ,RXMAS,57,57
GOD REST YE MERRY GENTLEMEN,RXMAS,62,62
GOOD CHRISTIAN MEN REJOICE,RXMAS,63,63
GOOD KING WENCESLAS,RXMAS,64,64
GRANDMA GOT RUN OVER BY A REINDEER,RXMAS,66,66
GRANDMA'S KILLER FRUITCAKE ,RXMAS,68,69
THE GREATEST GIFT OF ALL ,RXMAS,70,71
GREENWILLOW CHRISTMAS ,RXMAS,65,65
GROWN-UP CHRISTMAS LIST,RXMAS,72,73
HALLELUJAH CHORUS ,RXMAS,74,75
HAPPY CHRISTMAS LITTLE FRIEND,RXMAS,76,76
HAPPY HANUKKAH MY FRIEND (THE HANUKKAH SONG) ,RXMAS,78,79
HAPPY HOLIDAY ,RXMAS,77,77
HAPPY XMAS (WAR IS OVER) ,RXMAS,80,81
HARD CANDY CHRISTMAS ,RXMAS,82,83
HARK! THE HERALD ANGELS SING ,RXMAS,84,84
HE ,RXMAS,85,85
HERE COMES SANTA CLAUS ,RXMAS,86,86
HERE WE COME A-WASSAILING ,RXMAS,87,87
THE HOLLY AND THE IVY,RXMAS,88,88
A HOLLY JOLLY CHRISTMAS ,RXMAS,89,89
(THERE'S NO PLACE LIKE) HOME FOR THE HOLIDAYS,RXMAS,90,91
I HEARD THE BELLS ON CHRISTMAS DAY ,RXMAS,92,92
I SAW MOMMY KISSING SANTA CLAUS,RXMAS,93,93
I WONDER AS I WANDER,RXMAS,94,94
I'LL BE HOME FOR CHRISTMAS,RXMAS,96,97
I'VE GOT MY LOVE TO KEEP ME WARM ,RXMAS,95,95
IT CAME UPON THE MIDNIGHT CLEAR ,RXMAS,98,98
IT MUST HAVE BEEN THE MISTLETOE (OUR FIRST CHRISTMAS) ,RXMAS,100,101
IT'S A BIG WIDE WONDERFUL WORLD ,RXMAS,99,99
IT'S BEGINNING TO LOOK LIKE CHRISTMAS ,RXMAS,102,103
IT'S CHRISTMAS IN NEW YORK ,RXMAS,104,105
IT'S CHRISTMAS TIME ALL OVER THE WORLD ,RXMAS,106,107
IT'S JUST ANOTHER NEW YEAR'S EVE,RXMAS,108,109
JESU JOY OF MAN'S DESIRING ,RXMAS,110,111
JINGLE-BELL ROCK,RXMAS,112,113
JINGLE BELLS ,RXMAS,114,114
JINGLE JINGLE JINGLE ,RXMAS,115,115
JOY TO THE WORLD ,RXMAS,116,116
